song_name,song_release,song_artist,listen_time
Have You Seen Her?,Golden Classics,Chi-Lites,2
Woman In Chains,Tears Roll Down (Greatest Hits 82-92),Tears For Fears / Oleta Adams,6
Don't Stop It Now,The Best Of Hot Chocolate,Hot Chocolate,1
Head Over Heels,Gold,Tears For Fears,2
Say Hello_ Wave Goodbye,Total 80s,Soft Cell,2
Me_ Myself And I,Dangerously In Love,Beyoncé,1
With A Little Help From My Friends,With A Little Help From My Friends,Joe Cocker,1
Never Found a Girl,The Greatest Soul Album - 21 Best Soul Songs Ever,Eddie Floyd,6
Pale Shelter,The Hurting,Tears For Fears,2
Pneumonia,Out On the Floor - Breathtaking Northern Soul Classics,JOE TEX,2
The Name Of The Game (1999 Digital Remaster),Bete Noire,Bryan Ferry,1
Change,The Hurting,Tears For Fears,4
Hey Girl Don't Bother Me,The Soul Man_ Vol. 1,The Tams,5
Every 1's A Winner,Original Hits - Seventies,Hot Chocolate,1
Josephine (French Edit),Weekend Songs,Chris Rea,1
Never Let Her Slip Away,Never Let Her Slip Away,Andrew Gold,3
Oh What A Night,Their Very Best,The Dells,2
Medicine,Spine of God,Monster Magnet,1
Seconds (2002 Digital Remaster),Dare!/Love And Dancing,The Human League,1
I Like To Do It,The Best Of KC And The Sunshine Band,KC And The Sunshine Band,1
Doctor! Doctor!,Love_ Lies And Other Strange Things: Greatest Hits,Thompson Twins,1
Rock Your Baby,The Sound Of Sunshine,KC & The Sunshine Band,3
Get Down Tonight,Very Best Of,KC And The Sunshine Band,2
Everybody Wants To Rule The World,Gold,Tears For Fears,1
Human,Crash,The Human League,1
Misery Path,Karelian Isthmus,Amorphis,1
Don't You Know I Want You,The Best Of,The Human League,1
Bring Me Your Cup,The Best Of UB40 Volume II,UB40,1
Never Went To Church,Live Lounge 2,The Streets,5
The Lebanon,Hysteria,The Human League,1
It's Impossible,The Very Best Of The,The New Birth,2
Strut (1993 Digital Remaster),The World Of Sheena Easton - The Singles,Sheena Easton,1
If We Ever Meet Again,If We Ever Meet Again (Featuring Katy Perry),Timbaland / Katy Perry,1
Hey DJ,Hey DJ,Doc Phatt,1
I Love It When You Smile,Guns In The Ghetto,UB40,1
It's The Same Old Song,The Very Best Of KC And The Sunshine Band,KC And The Sunshine Band,1
Groovin',20 Of Their Best,The Tams,1
The Hustle,Seventies,Van McCoy,2
Don't Cha,PCD,The Pussycat Dolls / Busta Rhymes,1
Guns In The Ghetto,Guns In The Ghetto,UB40,1
The Way You Look Tonight,Bryan Ferry Collection,Bryan Ferry,1
One Nation Under A Groove,The Original Cosmic Funk Crew,Funkadelic,1
Bedsitter,Total 80s,Soft Cell,1
King Of The Rodeo,Aha Shake Heartbreak,Kings Of Leon,1
Don't You Want Me (Original Version),Top Of The Pops - Eighties,The Human League,2
The Wild Boys,Greatest,Duran Duran,1
Smile Version Revisited (Mark Ronson Remix) (Explicit),Smile,Lily Allen,1
How Can This Be Love (LP Version),Thank You For Being a Friend: The Best Of Andrew Gold.,Andrew Gold,1
Wouldn't Have It Any Other Way,A Grand Don't Come For Free,The Streets,8
Up Where We Belong,You Raise Me Up 2008,Joe Cocker / Jennifer Warnes,1
