song_name,song_release,song_artist,listen_time
Vampire Love,Heart Attack,Hello Goodbye,9
Madre Dolcissima,Zucchero Sugar Fornaciari's Greatest Hits,Zucchero,8
Virtual World,A Storm In Heaven,The Verve,1
Eric's Song,Waking Hour,Vienna Teng,5
Enough To Go By,Waking Hour,Vienna Teng,5
I'd Rather Be With You,I'd Rather Be With You,Joshua Radin,11
Incomplete,Poison Kiss,The Last Goodnight,1
Must Be Dreaming,Details,Frou Frou,2
Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,6
Naturally,Kiss & Tell,Selena Gomez & The Scene,2
Break Through,Breakthrough,Colbie Caillat,6
Between,Waking Hour,Vienna Teng,2
Grandmother Song,Inland Territory,Vienna Teng,6
No Gringo,Inland Territory,Vienna Teng,2
Magic,Coco,Colbie Caillat,5
Close Call (Album Version),Under The Blacklight,Rilo Kiley,1
Anna Rose,Warm Strangers,Vienna Teng,5
Old Piano,Details,Frou Frou,1
Psychobabble,Details,Frou Frou,2
White Light,Inland Territory,Vienna Teng,4
Breakin' At The Cracks,Breakthrough,Colbie Caillat,6
Rhyme & Reason,Listener Supported,DAVE MATTHEWS BAND,1
Watershed,Inland Territory,Vienna Teng,3
Stay Beautiful,Poison Kiss,The Last Goodnight,4
Holding Out For A Hero,Shrek 2 Deluxe,Frou Frou,2
Only Got One,Details,Frou Frou,2
Far Away (Album Version),All The Right Reasons,Nickelback,11
Daughter,Waking Hour,Vienna Teng,3
Antebellum,Inland Territory,Vienna Teng,6
Never Gonna Be Alone (Album Version),Dark Horse,Nickelback,7
It's Good To Be In Love,Details,Frou Frou,2
I Won't,Breakthrough,Colbie Caillat,6
Harbor,Warm Strangers,Vienna Teng,4
Pushing The Senses,Pushing The Senses,Feeder,1
Droplets,Breakthrough,Colbie Caillat / Jason Reeves,7
I'd Come For You (Album Version),Dark Horse,Nickelback,9
I Guess I'm Paranoid,Joanna & Wang_ Ruo-Lin,Joanna Wang,1
Yeah!,Confessions,Usher Featuring Lil' Jon & Ludacris,1
Home,Three Days Grace (Deluxe Version),Three Days Grace,1
Shine,Warm Strangers,Vienna Teng,4
In Your Arms,Poison Kiss,The Last Goodnight,1
The Atheist Christmas Carol,Warm Strangers,Vienna Teng,3
Radio,Inland Territory,Vienna Teng,2
