song_name,song_release,song_artist,listen_time
Long As I Can See The Light,Cosmo's Factory,Creedence Clearwater Revival,1
Down On The Corner,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,2
Obsession,Movin' Melodies,ATB,1
Every 1's A Winner,Original Hits - Seventies,Hot Chocolate,14
Have You Ever Seen The Rain,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,3
Kryptonite,Total 90s,3 Doors Down,25
The Prime Time Of Your Life,Human After All,Daft Punk,1
Fortunate Son,More Creedence Gold,Creedence Clearwater Revival,2
All I Ever Wanted,All I Ever Wanted,Basshunter,19
Painted Ladies,Rodeo And Living Free,Chris LeDoux,2
Gloomy,Creedence Clearwater Revival,Creedence Clearwater Revival,1
New Divide (Album Version),Transformers: Revenge Of The Fallen The Album,Linkin Park,16
Paradise City,Greatest Hits,Guns N' Roses,2
Proud Mary,Bad Moon Rising Hit Pac,Creedence Clearwater Revival,3
Long Black Veil,Listener Supported,DAVE MATTHEWS BAND,3
Gotas De Agua Dulce,La Vida Es Un Ratico En Vivo,Juanes,2
Born On The Bayou,At The Movies,Creedence Clearwater Revival,6
Human After All,Musique Vol 1,Daft Punk,22
This Night Has Opened My Eyes,This Station Is Non-Operational,At The Drive-In,1
Unite (2009 Digital Remaster),Hello Nasty (Remastered Edition),Beastie Boys,1
