song_name,song_release,song_artist,listen_time
The Rat (Album Version),Bows + Arrows,The Walkmen,1
Descent,Join The Dots - The B-Sides & Rarities,The Cure,1
Your Visits Are Getting Shorter,Intimacy,Bloc Party,2
Dead Queen,Espers II,Espers,1
With Arms Outstretched (Album Version),Saddle Creek 50,Rilo Kiley,3
Miami,Total Life Forever,Foals,1
Hail To Whatever You Found In The Sunlight That Surrounds You,The Execution Of All Things,Rilo Kiley,1
Plasticities,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,1
Do You Really Want To Hurt Me,This Time,Culture Club,5
Le Facteur,Rebel Yellow,Cecil Otter,1
Respect,Stax-Volt: The Complete Singles 1959-1968,Otis Redding,1
Hang On Now,The Very Best Of Kajagoogoo,Kajagoogoo,1
Perfection As A Hipster,God Help The Girl,God Help The Girl,1
Hayling,Audiovisual Couture Vol.1 by DJ koweSix,FC/ Kahuna,1
Tuffa Tider (För En Drömmare) (T&A Demo),Jag Borde Förstås Vetat Bättre,Gyllene Tider,1
Will The Circle Be Unbroken,TRIBUTE TO JOHN LEE HOOKER - FROM CLARKSIDE TO HEAVEN,Jeff Beck,1
What New York Couples Fight About (Feat: Kurt Wagner),Parts Of The Process,Morcheeba,1
The Execution Of All Things (Single Version),The Execution Of All Things,Rilo Kiley,1
1999,Rebel Yellow,Cecil Otter,1
Obsessions,NME The Album 2009,Marina And The Diamonds,1
U.R.A Fever,Midnight Boom,The Kills,1
Sleeping Sickness,Bring Me Your Love,City And Colour,2
Hey,Wave Of Mutilation: Best Of Pixies,Pixies,1
End Of A Century,Parklife,Blur,1
Aviador,Los Updates,Los Updates,5
Over And Out,In Your Honour,Foo Fighters,18
Silver Lining (Album Version),Under The Blacklight,Rilo Kiley,2
Electric Bloom,Antidotes,Foals,4
Lotus ( LP Version ),Up,R.E.M.,1
Yawny And The Apocalypse,Armchair Apocrypha,Andrew Bird,1
Sex 4 Suga,Universal Mind Control,Common,1
Paradise Circus (Gui Boratto Remix),Heligoland,Massive Attack,1
Brooklyn In My Mind,The Dream Merchant 2,9th Wonder,1
Close Call (Album Version),Under The Blacklight,Rilo Kiley,2
I Am Not a Robot [Starsmith 24 Carat Remix],The Crown Jewels EP,Marina And The Diamonds,1
Kill! Kill! Kill!,Thirteen Tales Of Love And Revenge,The Pierces,1
Inner Vision,Multiplicity,Dave Weckl Band,5
So Long,The Execution Of All Things,Rilo Kiley,1
Simple X,Armchair Apocrypha,Andrew Bird,1
Bolinha De Papel,Live In Tokyo,João Gilberto,1
My Slumbering Heart,The Execution Of All Things,Rilo Kiley,1
Larry,Scratch'n Sniff,Fate,1
Je pense à toi,Lever l'ancre,Alfa Rococo,1
Am I Fooling Myself Again (LP Version),The Best Of Frankie Lymon & The Teenagers,Frankie Lymon And The Teenagers,1
Easy muffin,Divine Intervention,Divine Intervention,1
Whatsername [feat. Green Day & The Cast Of American Idiot] (Album Version),The Original Broadway Cast Recording 'American Idiot' Featuring Green Day,Green Day,10
Go To Heaven,Thirteen Tales Of Love And Revenge,The Pierces,1
Apologize,2009 GRAMMY Nominees,OneRepublic,1
I Am Not a Robot,The Crown Jewels EP,Marina And The Diamonds,1
Master And Servant,Mute: Audio Documents,Depeche Mode,1
Seesaw,My friends all died in a plane crash,Cocoon,1
La Inhumana,La Jardinera Y Su Canto,Violeta Parra,2
Not A Robot_ But A Ghost,Noble Beast,Andrew Bird,1
Chase the Devil,La Musique de Paris Dernière 7,Cocoon,1
Poussière D'ange,Aquanaute,Ariane Moffatt,1
Cotton Fields (The Cotton Song) (Digitally Remastered 01),Friends/20/20,The Beach Boys,3
Spare-Ohs,Armchair Apocrypha,Andrew Bird,1
Black Rose,Rebel Yellow,Cecil Otter,1
This Old House w/ When The Saints Medley,Tribute To George Younce,George Younce,9
Red Right Hand,Let Love In,Nick Cave & The Bad Seeds,1
Fugue,Total Life Forever,Foals,1
Children,Cello Blue,David Darling,5
Up From Below,Up From Below,Edward Sharpe & The Magnetic Zeros,1
Lavinia,The Runaway Found,The Veils,1
The Fear You Won't Fall,Unclear Sky,Joshua Radin,3
Silent Talking,So Where Are You,Loose Ends,1
Aüita (Dub Chill Remix),Puerto Presente,Macaco,5
Down By The Water,To Bring You My Love,PJ Harvey,1
Brandy (You're A Fine Girl),Golden Years - 1972,Looking Glass,1
World In Motion,Singles,New Order,1
If Anyone Matters It'S You,What If Leaving Is A Loving Thing,Sahara Hotnights,1
Je Veux Te Voir (Radio Edit),Je Veux Te Voir (Remixes 2008),Yelle,2
Breathe In,Heroes And Villains,Paloalto,1
A Few Hours After This ...,Join The Dots - The B-Sides & Rarities,The Cure,1
Yours Vs Pressing On  (Smash Ups Album Version),Smash-ups,Relient K vs Tobymac,1
Love And War (11/11/46) (Album Version),More Adventurous,Rilo Kiley,1
Savage Circle,You've Gotta Get Out Of It,The Ruts,1
Total Life Forever,Total Life Forever,Foals,1
Hagamos Algo Superficial Y Vulgar,Grandes Éxitos: Alaska,Fangoria,5
Once In A Lifetime (Remastered LP Version ),The Best Of Talking Heads,Talking Heads,1
Into The White,Wave Of Mutilation: Best Of Pixies,Pixies,1
Paint's Peeling,The Execution Of All Things,Rilo Kiley,3
Black Gold,Total Life Forever,Foals,1
Shampain (album version),The Family Jewels,Marina And The Diamonds,1
I Want Your (Hands On Me),Lion And The Cobra,Sinéad O'Connor,1
La fenêtre,Lever l'ancre,Alfa Rococo,1
Summertime Rolls (2006 Remastered Album Version ),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,1
I Burn For You,Message In A Box,The Police,5
Turbulent Serenity (Instrumental),A Different Light,Anne Dudley,1
Harold T. Wilkins_ or How to Wait for a Very Long Time,Reservoir,Fanfarlo,1
Dream On (Single Version) (2006 Digital Remaster),The Best Of Depeche Mode - Volume One,Depeche Mode,1
A Man/Me/Then Jim (Album Version),More Adventurous,Rilo Kiley,2
White Room,I Feel Free - Ultimate Cream,Cream,4
Almost Lover (Album Version),Almost Lover,A Fine Frenzy,10
Lever l'ancre,Lever l'ancre,Alfa Rococo,1
On my way,From Panda Mountains - EP,Cocoon,1
Fiery Crash,Armchair Apocrypha,Andrew Bird,1
Bone Machine,Debaser,Pixies,1
Sea Legs (Album),Wincing The Night Away,The Shins,1
A Better Place,Music By Cavelight,Blockhead,1
The Absence Of God (Album Version),More Adventurous,Rilo Kiley,1
Maybe Not,You Are Free,Cat Power,1
I Told You So,Waiting For The Sirens' Call,New Order,1
Calcutta,Aftershock,Aphrodite,1
Freak Train,Childish Prodigy,Kurt Vile,1
Take My Hand,The Very Best Of Billy J Kramer,Billy J Kramer & The Dakotas,5
Disorder [2007 Re-mastered Album Version],Unknown Pleasures [Collector's Edition],Joy Division,1
