song_name,song_release,song_artist,listen_time
Uprising,Uprising,Muse,1
No One Else,Weezer,Weezer,1
Runaway,It's Blitz!,Yeah Yeah Yeahs,1
Losing Touch,Day & Age,The Killers,1
Don't Haunt This Place,Hometowns,The Rural Alberta Advantage,1
Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,4
At The Bottom Of Everything,Motion Sickness,Bright Eyes,1
Edmonton,Hometowns,The Rural Alberta Advantage,6
Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,1
Island In The Sun,Maladroit,Weezer,1
They Might Follow You,Tiny Vipers,Tiny Vipers,1
Innocent Son,Sun Giant,Fleet Foxes,1
Bleed It Out [Live At Milton Keynes],Road To Revolution: Live At Milton Keynes,Linkin Park,1
Yawns,Sings The Greys,Frightened Rabbit,1
El Scorcho,Pinkerton,Weezer,1
Clocks,A Rush Of Blood To The Head,Coldplay,2
Whataya Want From Me,Whataya Want From Me,Adam Lambert,1
Somebody To Love,My Worlds,Justin Bieber,5
Waking Up In Vegas (Calvin Harris Remix Edit),Waking Up In Vegas,Katy Perry,1
Mia,First Love,Emmy The Great,1
My Name Is Jonas,Weezer,Weezer,1
Black Sheep Boy #4,Black Sheep Boy Definitive Edition,Okkervil River,1
Radar Detector,Darwin Deez,Darwin Deez,1
Wrapp,Republica,Republica,1
Rehab,Hip Hop The Collection 2009,Rihanna,1
Teenager,Modapop,Camera Obscura,1
Not Big,Alright_ Still,Lily Allen,1
Give It To Me,Massive R & B - Spring 2007,Timbaland / Justin Timberlake / Nelly Furtado,1
Falling Through Your Clothes,Twin Cinema,The New Pornographers,1
Trouble (Album Version),Trouble,Ray LaMontagne,3
Soft Shock,It's Blitz!,Yeah Yeah Yeahs,1
Old Soul Song,Motion Sickness,Bright Eyes,1
These Old Shoes,War Elephant,Deer Tick,1
Hey There Delilah,Now That's What I Call Music! 68,Plain White T's,2
Sehr kosmisch,Musik von Harmonia,Harmonia,2
Fuck Me Pumps,Frank,Amy Winehouse,1
Oh Napoleon,Glory Hope Mountain,The Acorn,1
Shelter,Prime,Ray LaMontagne,1
Who's That Girl?,R&B Classics Collection,Eve,1
A-Punk (Album),Vampire Weekend,Vampire Weekend,1
Susanne,Weezer,Weezer,1
Damn Girl,FutureSex/LoveSounds,Justin Timberlake;Justin Timberlake featuring will.i.am,1
Kiss With A Fist,Wild Child OST,Florence + The Machine,1
No Other One,Pinkerton,Weezer,1
Pork And Beans,Pork And Beans,Weezer,1
Execution Day,Mass Romantic,The New Pornographers,1
Across The Sea,Pinkerton,Weezer,1
Falling For You,Pinkerton,Weezer,1
Little Shadow,It's Blitz!,Yeah Yeah Yeahs,1
re:stacks,For Emma_ Forever Ago,Bon Iver,1
Superstition,Keep On Your Mean Side,The Kills,1
Flume,For Emma_ Forever Ago,Bon Iver,1
Manhattan,Only By The Night,Kings Of Leon,1
The Penalty,The Flying Club Cup,Beirut,1
16th St. Dozens (Album Version),What The Toll Tells,Two Gallants,1
Me & Mr Jones,Me & Mr Jones,Amy Winehouse,1
Soul Suckers,Amos Lee,Amos Lee,1
Ain't No Rest For The Wicked (Original Version),Cage The Elephant,Cage The Elephant,1
Plush (Acoustic),Thank You,Stone Temple Pilots,1
Diamond Rings 2007,War Elephant,Deer Tick,1
The Scientist,The Scientist,Coldplay,2
Not Ready To Make Nice,Taking The Long Way,Dixie Chicks,1
Somebody Told Me,Hot Fuss,The Killers,1
This Is How We Do It,Massive R&B Classics,Montell Jordan,1
Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,2
Amie,O,Damien Rice,1
Yes,Party Rock,LMFAO,1
The Trouble With Love Is,Beautiful,Kelly Clarkson,1
Later On,My Best Friend Is You,Kate Nash,1
Lost Coastlines,Lost Coastlines,Okkervil River,4
My Dove_ My Lamb,Pride,Phosphorescent,1
Hysteric,It's Blitz!,Yeah Yeah Yeahs,1
If You Got The Money,Panic Prevention,Jamie T,1
Hold You In My Arms,Trouble,Ray LaMontagne,1
Ghost At The Foot Of The Bed,Hell Train,Soltero,1
So Insane,LP,Discovery,1
White Winter Hymnal,White Winter Hymnal,Fleet Foxes,1
The Ballad of the RAA,Hometowns,The Rural Alberta Advantage,5
Float On,Float On,Modest Mouse,4
Take This Heart Of Mine,In The Mood For Something Rude,Foghat,1
Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,1
The Damage In Your Heart,Make Believe,Weezer,1
Say It Ain't So,Weezer,Weezer,1
Ratitat/Peter's Wolf/Oblivious Reel,Music of Hair,Andrew Bird,1
Everyone Gets A Star,Yours To Keep,Albert Hammond Jr.,1
My Paper Heart,Summerland,The All-American Rejects,1
I Will Follow You into the Dark (Album Version),Plans,Death Cab for Cutie,1
Creep (Explicit),Pablo Honey,Radiohead,1
Boy With The Coin,The Boy With The Coin,Iron And Wine,1
(Nice Dream),The Bends (Collectors Edition),Radiohead,2
If I Ain't Got You,R&B Love Collection 08,Alicia Keys,1
Wild Young Hearts,Wild Young Hearts,Noisettes,1
Lady Liberty,Don't Fall In Love With Everyone You See,Okkervil River,1
The Deadroads,Hometowns,The Rural Alberta Advantage,2
Cousins,Contra,Vampire Weekend,1
Dangerously In Love,Dangerously In Love,Beyoncé,1
Fear,Come Back To The Five And Dime_ Bobby Dee Bobby Dee,Benjy Ferree,14
Magic Carpet Ride,Gold,Steppenwolf,1
Alejandro,The Fame Monster,Lady GaGa,5
Tessellate,Elephant Shell,Tokyo Police Club,1
Chinese,It's Not Me_ It's You,Lily Allen,1
Goodbye,Breakout,Miley Cyrus,1
Home For A Rest,Save This House,Spirit of the West,1
Revelry,Only By The Night,Kings Of Leon,2
The Day That Lassie Went To The Moon,Popular Songs Of Great Enduring Strength And Beauty,Camper Van Beethoven,1
Viens Avec Moi (Album version),How It Ends,Devotchka,1
Take A Chance,Take A Chance,The Magic Numbers,1
Skinny Love,For Emma_ Forever Ago,Bon Iver,1
Public Pervert,Antics,Interpol,1
