song_name,song_release,song_artist,listen_time
Bittersweet,Apocalyptica,Apocalyptica,1
Katharina - Original Version,Katharina,Matthias Thurow,2
Once In Every Lifetime,Eragon: Music From The Motion Picture,Jem,2
Wonderful Christmas Time,Kidz Bop Christmas,Kidz Bop Kids,1
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,2
El Cargo,Chaos Theory,Amon Tobin,6
Your Diary,Do You Want To,Franz Ferdinand,1
Ripping Flesh,Something Wykked This Way Comes,Wykked Wytch,1
Do You Hear What I Hear?,8 Days Of Christmas,Destiny's Child (featuring Kelly Rowland),1
Where I Stood (Album Version),On A Clear Night [Australian Version],Missy Higgins,1
In Your City,Heaven & Earth,Phil Wickham,2
24,Finally Woken,Jem,1
None Shall Pass (Main),None Shall Pass - Single,Aesop Rock,1
Would That Make U Love Me,The Evolution of Robin Thicke,Robin Thicke,8
Photographs,Rated R,Rihanna / will.i.am,2
Kids In America,Everytime We Touch,Cascada,1
Missing,Anywhere But Home,Evanescence,1
Duel,A Secret Wish,Propaganda,1
Rayando el sol,Eclipse,Maná,2
Go Fly,Go Fly,Cern,1
Walk It Out,Stomp the Yard,Unk,2
Fast Forward,Chargepoint,Decadence,1
Engel,Sehnsucht,Rammstein,1
Repressed,Amplified - A Decade Of Reinventing The Cello,Apocalyptica,5
The Old Sears & Roebuck Catalogue,Soldiers for Feet,Adam Arcuragi,1
Stupid In Love,Rated R,Rihanna,1
Fools,Visiter,The Dodos,126
Sandstorm,Galaxy Dance Anthems,Darude,1
I'm Done,Doll Domination,The Pussycat Dolls,2
Under A Killing Moon,The Artist In The Ambulance,Thrice,5
Water,Dry,P J Harvey,2
Belleau Wood  (The Christmas Guest Album Version),The Christmas Guest,Andy Griffith,1
Do It To It (A Cappella) (Feat. Sean Paul Of YoungBloodZ),Do It To It (A Cappella),Cherish Featuring Sean Paul Of YoungBloodZ,1
