song_name,song_release,song_artist,listen_time
Komboj,Samo Voo Voo,Voo Voo,1
Higher Ground [featuring Yolanda Adams_ Kim Burrell_ Dorinda Clark_ Karen Clark-Sheard & Mary Mary] (Amended LP Version),Miss E...So Addictive,Missy Elliott,1
Monkey Man,You Know I'm No Good,Amy Winehouse,1
Mourning Dove,The Grascals,The Grascals,1
Under The Gun,Sawdust,The Killers,1
Jump [feat. Nelly Furtado] (Album Version),Jump [feat. Nelly Furtado],Flo Rida,2
When We Dance,Fields Of Gold - The Best Of Sting 1984 - 1994,Sting,1
Wo Willst Du Hin?,Zwischenspiel/Alles für den Herrn,Xavier Naidoo,1
S.U.C.C.E.S.S.,Blast,Holly Johnson,1
Hotel Intro,Hotel,Moby,1
A Little More (Lay It Down Album Version),Listen: Louder,Jennifer Knapp,3
Love Train,Blast,Holly Johnson,1
All Star,Smash Mouth,Smash Mouth,1
Hang On To Your Love,The Best Of Sade,Sade,1
North Of the Yukon,La Vie Electronique 2,Klaus Schulze,1
I Only Want To Be The Man You Want,Matthew Ryan Vs. The Silver State,Matthew Ryan,1
Molly's Chambers,Holy Roller Novocaine EP,Kings Of Leon,1
Wishing Bell,The Third Quartet,John Abercrombie_ Mark Feldman_ Joey Baron_ Marc Johnson,1
(Sittin' On) The Dock Of The Bay,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),Otis Redding,1
Why Worry,The All American Rejects,The All-American Rejects,1
If It's Lovin' That You Want,If It's Lovin' That You Want,Rihanna,1
Smooth Operator,The Best Of Sade,Sade,1
Only When You Leave,This Is... 1984,Spandau Ballet,2
Somebody (Remix),Mute Audio Documents: Volume 4: 1984,Depeche Mode,8
Aire (Buleria),Grandes éxitos,José Mercé,3
Raining Again (Evil Nine Remix),Raining Again,Moby,1
Through Dreams And Reality,The Astral Episode,Space Odyssey,1
Le Soleil Est Près De Moi,Le Soleil Est Près De Moi,Air,2
Americanos,Blast,Holly Johnson,1
Dirty Little Secret,Dirty Little Secret,The All-American Rejects,1
Playground Love,Playground Love,Air,3
Never Ending Story,Too Shy-The Singles...And More,Limahl,1
I Kissed A Girl,One Of The Boys (iTunes Exclusive),Katy Perry,1
Halo,Violator,Depeche Mode,1
En Glad Calypso Om Våren (Live '62),En Stol På Tegnér,Olle Adolphson,1
True,True Love Songs,Spandau Ballet,1
Never As Good As The First Time,Promise,Sade,1
Pijak,A Ty Siej,Habakuk,1
Chantilly Lace,Spotlight On The Big Bopper,Big Bopper,1
In My Eyes,Spring Love - All Time Greatest Hits,Stevie B,4
X & Y,X & Y,Coldplay,1
I Wanna Be The One,Essential Gold (Digitally Remastered),Stevie B,1
The Beautiful Ones (Featuring Dru Hill),3 CD Boxset,Mariah Carey Featuring Dru Hill,1
Crotchopus,Big Fat Box of Shit,Crotchduster,1
Love Comes Quickly,Discography - Complete Singles Collection,Pet Shop Boys,1
Hook,Four,Blues Traveler,1
Beautiful,Observer,Magic Sound Fabric,1
Cookie Jar [feat. The-Dream] (Explicit Album Version),Cookie Jar [Feat. The-Dream],Gym Class Heroes,1
Lift Me Up,Lift Me Up EP,Moby,1
Your Love Is King,Diamond Life,Sade,1
Raining Again (Steve Angello's Vocal Mix),Hotel: The Remixes,Moby,1
Is It A Crime,The Best Of Sade,Sade,1
Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,1
All I Need Is A Miracle,Mike & The Mechanics,Mike And The Mechanics,1
Gift From Virgo,Dangerously In Love,Beyoncé,1
Venus,The Very Best of Bananarama,Bananarama,1
Jezebel,The Best Of Sade,Sade,1
When I Grow Up,When I Grow Up,The Pussycat Dolls,1
Don't You Want Me (Original Version),Top Of The Pops - Eighties,The Human League,1
Desert Rose,Brand New Day,Sting,1
Lovebug,A Little Bit Longer,Jonas Brothers,1
We Are All Connected,Freedom Star,Magic Sound Fabric,1
Love Is Stronger Than Pride,The Best Of Sade,Sade,1
Why Does My Heart Feel So Bad? (2006 Digital Remaster),Go - The Very Best Of Moby,Moby,2
The Sweetest Taboo,The Best Of Sade,Sade,1
That's Just The Way We Roll,Jonas Brothers,Jonas Brothers,1
A.T.H.F. (Aqua Teen Hunger Force) (Album Version),The Mouse And The Mask,Danger Doom,1
Cheryl Tweedy,Alright_ Still (Deluxe),Lily Allen,1
When You Were Young,When You  Were Young,The Killers,1
