song_name,song_release,song_artist,listen_time
Bold O'Donahue,Sports Day At Killaloe,Fiddler's Green,1
Burn With Me,All That You Deserve,Signal The Escape,5
Mindörökké,A túlélo,Pokolgép,3
This Woman And This Man (Album Version),Rhino Hi-Five: Clay Walker,Clay Walker,5
Red Dirt Road,#1s ... and then some,Brooks & Dunn,11
Don't Go Near The Water,The Ultimate Collection,Sammy Kershaw,5
Dreaming With My Eyes Open (Album Version),Rhino Hi-Five: Clay Walker,Clay Walker,4
Grand Designs,The Old Road,Martin Orford,1
El perro verde,Coces al Aire 1997-2007,Marea,4
Standing On The Edge Of Goodbye,Greatest Hits,John Berry,5
Blindfold,Parts Of The Process,Morcheeba,5
Third Rate Romance,Feelin' Good Train,Sammy Kershaw,5
One_ Two_ I Love You (Album Version),Rumor Has It,Clay Walker,8
Galaxy,Siren,Zion Train,3
He Didn't Have To Be,Who Needs Pictures,Brad Paisley,5
I Am That Man,#1s ... and then some,Brooks & Dunn,4
Roll With Us,Double R,Bizzy Bone Presents,2
Boot Scootin' Boogie,Brand New Man,Brooks & Dunn,6
Break Up With Him (The Break-Up Song),The Car Is On Fire,The Car Is On Fire,1
Queen Of My Double Wide Trailer,Best Of Sammy Kershaw: 20th Century Masters: The Millennium Collection,Sammy Kershaw,5
I'm Gonna Miss Her,Part II,Brad Paisley,6
Cheree,Suicide,Suicide,5
When I Get Where I'm Going,Time Well Wasted,Brad Paisley;Dolly Parton,5
Waitin' On A Woman,Play,Brad Paisley With Andy Griffith,6
She's Not The Cheatin' Kind,#1s ... and then some,Brooks & Dunn,4
Hard Workin' Man,The Greatest Hits Collection,Brooks & Dunn,6
