song_name,song_release,song_artist,listen_time
Undo,Vespertine Live,Björk,3
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,1
Rhythm Is A Mystery (Remix),The Remixes,K-Klass,1
Elävät ja kuolleet,Haloo Helsinki!,Haloo Helsinki!,1
Sugar Ray (LP Version),Falling Off The Bone,Todd Barry,1
What If I Do?,In Your Honour,Foo Fighters,6
Live To Tell The Tale,Nemo,Nightwish,2
Billionaire [feat. Bruno Mars]  (Explicit Album Version),Billionaire [feat. Bruno Mars],Travie McCoy,1
Revelry,Only By The Night,Kings Of Leon,1
Through The Fire,I Feel For You,Chaka Khan Chaka Khan,1
