song_name,song_release,song_artist,listen_time
Idiots Rule ( LP Version ),Nothing's Shocking,Jane's Addiction,1
Song For A Winter's Night,Wintersong,Sarah McLachlan,1
Innocent (live),Psychedelicatessen,Threshold,1
Angel From Montgomery,Tribute to Steve Goodman,Bonnie Raitt,2
Three Days (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,1
Stop (2006 Remastered Album Version),Up From The Catacombs: The Best Of Jane's Addiction,Jane's Addiction,1
I Thought It Was You,Swept,Julia Fordham,1
Silencios (LP Version),Escenas,Ruben Blades,1
The Ocean,Mortal City,Dar Williams,1
New York Groove,Demon Music UK Top 20 Hits Vol 1,Hello,1
Five More Hours,The Gabe Dixon Band,The Gabe Dixon Band,1
Mountain Song ( LP Version ),Nothing's Shocking,Jane's Addiction,1
In Space,Melody AM,Röyksopp,1
Thank You Boys ( LP Version ),Nothing's Shocking,Jane's Addiction,1
The Important Thing Is To Love,Let's Build A Fire,+ / - {Plus/Minus},1
