song_name,song_release,song_artist,listen_time
Niño Bomba,Tasty + B Sides,Plastilina Mosh,1
Not Miserable,The Winter of Mixed Drinks,Frightened Rabbit,1
Mandarine Girl,Mandarine Girl,Booka Shade,1
Born Slippy,Classic Big Tunes,Underworld,1
Human After All (SebastiAn Remix ),Human After All,Daft Punk,1
The Invisible Man,The Invisible Man,Michael Cretu,1
Deny Selected,Oi Oi oi,Boys Noize,1
Afroman,Tasty + B Sides,Plastilina Mosh,1
Body Language,Body Language,M.A.N.D.Y. / Booka Shade,1
Oceans,Ten (Legacy Edition),Pearl Jam,1
Nothing Better (Album),Give Up,Postal Service,1
One More Time (Short Radio Edit),One More Time,Daft Punk,1
Tive Sim,Nova Bis-Cartola,Cartola,2
Toll Free,All U Need Is Mosh,Plastilina Mosh,1
Marshall Examines His Carcass,Identification Parade,Octopus Project,1
Tailgunner (1998 Digital Remaster),No Prayer For The Dying,Iron Maiden,1
Nicole,Star Kitty's Revenge,Joi,10
Dreadful Dread (2002 Digital Remaster),Roots Controller,Misty In Roots,1
Far Away,In Ghost Colours,Cut Copy,1
Red Hats For The Masses,Change In Nature EP,Operahouse,6
Jerk Me,Fantastic Playroom,New Young Pony Club,1
Valentine,Justice,Justice,1
It All Dies Anyway,Kings & Queens,The Gits,1
End It On This,Tragic Kingdom,No Doubt,1
Ice Cream,Ice Cream,New Young Pony Club,1
Twyst This,A Mind Of Its Own,Karizma,1
Robot Rock (Soulwax Remix),Robot Rock,Daft Punk,1
Jupiter Room (Martian Assault Mix),The Twelve Inches EP,Digitalism,1
Culling Of The Fold,Culling Of The Fold,The Decemberists,1
Mr Soft,Make Me Smile - The Best Of Steve Harley,Cockney Rebel,1
Even Flow,Ten (Legacy Edition),Pearl Jam,6
Jonaz Goes to Hollywood,All U Need Is Mosh,Plastilina Mosh,1
Robot Soul (Radio Edit),Robot Soul,Cosmo Vitelli,1
No More Mosquitoes,Pause,Four Tet,1
LDN,LDN,Lily Allen,1
Pide Un Deseo,Mi Unico Amor,Nestor en Bloque,5
Honey,Nobody's Daughter,Hole,5
No Nos Podrán Parar,En Estos Dias Inciertos...,Celtas Cortos,5
Date W/Ikea,Brighten the Corners (Nicene Creedence Ed.),Pavement,1
What's Your Name,This Is How I Feel,Future Loop Foundation,1
I Stand Alone,Good Times_ Bad Times - Ten Years of Godsmack,Godsmack,5
Safari,LP,Holy Fuck,1
Sorry County Blues,One Step Forward,Lonesome River Band,5
Brenda's Baby,Median's Relief,Median,1
Here It Comes,Sally Cinnamon,The Stone Roses,1
Ce Jeu,Pop Up - De Luxe,Yelle,1
My Generation,Horses,Patti Smith,10
Disco Infiltrator (FK's Infiltrated Vocal),Introns,LCD Soundsystem,1
