song_name,song_release,song_artist,listen_time
Such Great Heights,Grey's Anatomy Original Soundtrack,The Postal Service,2
Undo,Vespertine Live,Björk,1
A Lot To Learn (live),25 Song Discography,Wide Awake,1
You're The One,If There Was A Way,Dwight Yoakam,2
River,Underground,Phonique,2
Old Time Religion/Pass Me Not/Sweet By And By (2001 Digital Remaster),Prison,Merle Haggard,1
Learn To Fly,There Is Nothing Left To Lose,Foo Fighters,1
Somebody To Love,My Worlds,Justin Bieber,3
Mia,First Love,Emmy The Great,1
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,1
Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,Shakira Featuring Wyclef Jean,1
Crawling (Album Version),Hybrid Theory,Linkin Park,1
Cudi Zone,Man On The Moon: The End Of Day,Kid Cudi,1
Ghosts 'n' Stuff (Original Instrumental Mix),Ghosts 'n' Stuff,Deadmau5,1
Monster,The Fame Monster,Lady GaGa,1
Oxford Comma (Album),Vampire Weekend,Vampire Weekend,1
Already Gone,All I Ever Wanted,Kelly Clarkson,1
Just Dance,Just Dance,Lady GaGa / Colby O'Donis,3
Tive Sim,Nova Bis-Cartola,Cartola,1
Sehr kosmisch,Musik von Harmonia,Harmonia,2
I Give You To His Heart,A Hundred Miles Or More - A Collection,Alison Krauss,1
U Smile,My Worlds,Justin Bieber,1
A-Punk (Album),Vampire Weekend,Vampire Weekend,2
Blast,Free,Marcus Miller,1
Nobody (Featuring Athena Cage) (LP Version),Keith Sweat,Keith Sweat Featuring Athena Cage,5
Superman,The Eminem Show,Eminem / Dina Rae,3
Someday We'll Know,Maybe You've Been Brainwashed Too,New Radicals,3
Hace Tiempo,Fonseca - Acoustic Versions,Fonseca,1
Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Catch You Baby,Lonnie Gordon,1
Te Amo,Rated R,Rihanna,1
Black,Ten,Pearl Jam,1
That Should Be Me,My Worlds,Justin Bieber,3
Around The World (Radio Edit),Musique Vol 1,Daft Punk,3
If I Had You,For Your Entertainment (Deluxe Version),Adam Lambert,1
Two Is Better Than One,Love Drunk,Boys Like Girls featuring Taylor Swift,2
Sin Coro,Calle 13 (Explicit Version),Calle 13,1
Fight,Early Man,Early Man,1
Your Song (Alternate Take 10),Cilla In The 70's,Cilla Black,1
Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,3
Frisch und g'sund,Musik mit Herz und Schwung,Die Mooskirchner,1
I Never Die,Act Seven,CREMATORY,2
Bulletproof,Bulletproof,La Roux,1
There Goes My Baby,Raymond v Raymond,Usher,1
What You Know,Tourist History,Two Door Cinema Club,1
Float On,Float On,Modest Mouse,2
"It Might Be You (from ""Tootsie"")",Stephen Bishop - His Very Best,Stephen Bishop,1
Représente,Fat Come Back,Alliance Ethnik,1
My Name Is,The Slim Shady LP,Eminem,1
La Despedida,Daddy Yankee Mundial,Daddy Yankee,1
My Beloved Monster,Beautiful Freak,Eels,1
Sayonara-Nostalgia,Yuugata Generation,Base Ball Bear,1
Where Were You (When The World Stopped Turning),The Very Best Of,Alan Jackson,1
Fly,Bryter Layter,Nick Drake,1
Ten Thousand Fists (Album Version),The Complete Studio Albums,Disturbed,3
Mi Princesa,Mi Princesa,Gondwana,2
Killing In The Name,Rage Against The Machine / Evil Empire (Coffret 2 CD),Rage Against The Machine,1
Moar Ghosts 'n' Stuff,Ghosts 'n' Stuff,Deadmau5,1
Revelry,Only By The Night,Kings Of Leon,1
Teach Me How To Dougie,Teach Me How To Dougie,California Swag District,4
Marry Me,Save Me_ San Francisco,Train,1
Empire State Of Mind (Part II) Broken Down,Empire State Of Mind (Part II) Broken Down,Alicia Keys,2
Paper Planes,Decent Work For Decent Pay,M.I.A.,3
Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,1
Drops Of Jupiter,Drops Of Jupiter,Train,1
Du soleil au coeur,Les indispensables,Céline Dion,1
Use Somebody,Use Somebody,Kings Of Leon,1
Whatcha Say,Whatcha Say,Jason Derulo,1
König der Löwen,Weiter,Dynamite Deluxe,2
Everlong,The Colour And The Shape (Special Edition),Foo Fighters,1
Higher Ground,Original Album Classics,Marcus Miller,1
Bad Company,War Is The Answer,Five Finger Death Punch,1
One,...And Justice For All,Metallica,1
Last Exit,Vitalogy,Pearl Jam,1
White Guilt,Five Pillars of Soul,John Wilkes Booze,1
