song_name,song_release,song_artist,listen_time
Orgelblut,Dolores,Bohren & Der Club Of Gore,5
Loverboy,Glitter,Mariah Carey Featuring Cameo,5
Who's Your Daddy? ,Who's Your Daddy? - Single,Benny Benassi,10
The Key_ The Secret,The Very Best Of Euphoric Dance Breakdown Summer 2008,Urban Cookie Collective,5
Beautiful_ Dirty_ Rich,The Fame Monster,Lady GaGa,1
Undo,Vespertine Live,Björk,69
Imma Be,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,1
Kiss You Off,Kiss You Off,Scissor Sisters,1
Teeth,The Fame Monster,Lady GaGa,1
Where You From?,Futurino,Rinôçérôse / Mark Gardener,10
The Invisible Man,The Invisible Man,Michael Cretu,5
Empty Skies,Resist,Kosheen,10
Watching The Detectives,My Aim Is True,Elvis Costello,5
The Swish,Almost Killed Me,The Hold Steady,5
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,1
Nothing Better (Album),Give Up,Postal Service,15
Che Sara,Hazes 100 Deel 5,Andre Hazes,2
I Want Your Love,Baby I Don't Care - The Collection,Transvision Vamp,10
Substitute,Since We've Been Gone,Clout,1
Carry Me In Your Dreams (Albania),Eurovision Song Contest 2009,Kejsi Tola,10
Just Dance,Just Dance,Lady GaGa / Colby O'Donis,2
Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Catch You Baby,Lonnie Gordon,5
You'll Never Know (My Love) (Bovellian 07 Mix),You'll Never Know,Edwyn Collins,5
I Get Joy,I Get Joy - Single,Coko featuring Kirk Franklin,15
Shots,Party Rock,LMFAO / Lil Jon,1
More Than A Woman,Ultimate R&B Love 2009,Aaliyah,1
The Chauffeur (Remastered Version),B-Sides & Rarities,Deftones,1
Ode To My Family,No Need To Argue (The Complete Sessions 1994-1995),The Cranberries,1
All Men Are Liars,Quiet Please... The New Best Of Nick Lowe,Nick Lowe,10
Le Jardin d'Hiver,Smile,Jacky Terrasson,1
Whatever,Clubland 14,Hypasonic,26
Behind The Sea [Live In Chicago],Live In Chicago,Panic At The Disco,9
Miss You,R&B Collection,Aaliyah,1
Genom tunna tyger,Prinsen av Peking,Markus Krunegård,5
Animal Instinct,Bury The Hatchet (The Complete Sessions 1998-1999),The Cranberries,1
Fliegende Fische,Fliegende Fische,Pohlmann.,5
I Think I'll Live,Less And Less And I Don't Love You Anymore,Charlie Louvin,11
Almaz,Every Kind Of Mood,Randy Crawford,5
Canada,The End Is Here,Five Iron Frenzy,43
Esisti Tu,Valerio Scanu Limited Edition,Valerio Scanu,5
Better To Reign In Hell,Damnation And A Day,Cradle Of Filth,32
Next Big Thing,A Curious Thing,Amy MacDonald,5
I Don't Feel Like Dancin',I Don't Feel Like Dancin',Scissor Sisters,1
Alejandro,The Fame Monster,Lady GaGa,3
Boys Boys Boys,The Fame Monster,Lady GaGa,1
Ghosts and Roses,Hello Mademoiselle,Stephane Pompougnac,5
Revelry,Only By The Night,Kings Of Leon,11
Do You Remember,. . . XYZ,Moose,5
Take Your Mama,Scissor Sisters (Ecopac),Scissor Sisters,1
Ain't Misbehavin,Summertime,Sam Cooke,1
Come On Eileen,Kids Sing Along Pac,Dexys Midnight Runners,1
Mr. Me Too,Hell Hath No Fury,Clipse,10
Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,1
What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version),Jealous Ones Still Envy [J.O.S.E] [Explicit],Fat Joe,1
Rockin' Rollin' Stone,100 Greatest Rockabilly Hits,Andy Starr,5
Soul Surgeon,Live Forever Or Die Trying,The Humpers,5
16 Candles,16 Candles,The Crests,5
The Drive-By (Explicit),AmeriKKKa's Most Wanted (Explicit),Ice Cube,1
Umoja,The Spirit of Togetherness,UMOJA,5
Comfortably Numb,Scissor Sisters (Ecopac),Scissor Sisters,1
Why Does My Heart Feel So Bad? (2006 Digital Remaster),Go - The Very Best Of Moby,Moby,6
Unite (2009 Digital Remaster),Hello Nasty (Remastered Edition),Beastie Boys,5
Rock The Boat,R&B Love Collection 08,Aaliyah,2
Burden In My Hand,Down On The Upside,Soundgarden,5
FANTASY,The Remixes,Mariah Carey,5
Heavens Above,In Concert,The Style Council,10
