song_name,song_release,song_artist,listen_time
Harder Better Faster Stronger,Discovery,Daft Punk,3
Jumping Jack Flash,Shine A Light,The Rolling Stones,1
5th Gear,Cocaine Inc. (Cocaine Raps 1_ 2_ and 3),Andre Nickatina (ft. Equipto),3
Hold It Now_ Hit It,Licensed To Ill,The Beastie Boys,1
She's Crafty,Licensed To Ill,The Beastie Boys,1
You Be Illin',Raising Hell,RUN-DMC,1
Aerodynamic,Discovery,Daft Punk,3
You Know What You Are?,With Teeth,Nine Inch Nails,1
Indo Silver Club,Homework,Daft Punk,2
Steam Machine,Human After All,Daft Punk,2
High Life,Discovery,Daft Punk,3
D.A.N.C.E. [Radio Edit],D.A.N.C.E.,Justice,1
Emotion,Human After All,Daft Punk,1
I'm Old Fashioned,Close Your Eyes,Stacey Kent,1
Leave The World Behind,PACHA - The World's Most Famous Club Sound 2009,Axwell / Ingrosso / Angello / Laidback Luke Feat. Deborah Cox,2
Exhale,Out Of The Blue Remastered,System F,2
Funk Ad,Homework,Daft Punk,2
The Beginning And The End,Oceanic,isis,2
Meanwhile_ Rick James...,Comfort Eagle,Cake,1
Face To Face,Discovery,Daft Punk,2
Steve Berman,Relapse: Refill,Eminem,1
Jesus Is Just Alright,ROCKY! THE VENTURES!,The Ventures,1
Heaterz,Wu-Tang Forever (Explicit),Wu-Tang Clan featuring CappaDonna,1
Digital Love,Ministry of Sound Presents Chilled II 1991-2009,Daft Punk,3
Fresh,Homework,Daft Punk,2
Sad Songs And Waltzes,Fashion Nugget,Cake,1
You Got Me Rocking,Voodoo Lounge,The Rolling Stones,1
Nymp,Vol. 3... Life And Times Of S. Carter,Jay-Z,1
Nymp,Volume. 3... Life and Times of S. Carter,Jay-Z,1
Live-In Skin,There Is Nothing Left To Lose,Foo Fighters,1
Raising Hell,Ultimate Run Dmc,RUN-DMC,3
Candyfloss (LP Version),Summerteeth,Wilco,1
Especially In Michigan (Album Version),Stadium Arcadium,Red Hot Chili Peppers,3
Rock'n Roll,Homework,Daft Punk,3
Nightvision,Discovery,Daft Punk,1
Among The Suns,Among The Suns,Brainstorm,1
All things bright and beautiful,John Rutter - The Choral Collection,The Cambridge Singers / John Rutter,1
Is It Live,Raising Hell,RUN-DMC,1
Mayor,Pacific Division EP,Pac Div,1
The Brainwasher,Human After All,Daft Punk,1
C'mon Girl (Album Version),Stadium Arcadium,Red Hot Chili Peppers,1
It's Tricky,The Best Year Of My Life: 1987,RUN-DMC,2
Around The World (Radio Edit),Musique Vol 1,Daft Punk,3
Nothing To Say (featuring M. Shadows),Slash,Slash,2
Not Your Boy (CD),Dirty King,The Cliks,1
Strip My Mind (Album Version),Stadium Arcadium,Red Hot Chili Peppers,1
Top Down,One Man Band Man,Swizz Beatz,1
The Real Slim Shady,Curtain Call,Eminem,1
The Real Slim Shady,The Marshall Mathers LP,Eminem,1
I Could Have Lied (Album Version),Blood Sugar Sex Magik,Red Hot Chili Peppers,1
Shut Up,Pacific Division EP,Pac Div,2
Opera Singer,Comfort Eagle,Cake,1
The Prime Time Of Your Life,Human After All,Daft Punk,1
The Prime Time Of Your Life,Human After All,Daft Punk,1
S. Carter,Volume. 3... Life and Times of S. Carter,Jay-Z / Amil,3
I'm Back,The Marshall Mathers LP,Eminem,1
Sinisten tähtien alla,Tatsum Tisal,J. Karjalainen & Mustat Lasit,4
One More Time (Short Radio Edit),Musique Vol 1,Daft Punk,2
Proud To Be Black,Raising Hell,RUN-DMC,2
Da Funk,Homework,Daft Punk,1
Crescendolls,Discovery,Daft Punk,2
Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,1
Angie,Jump Back - The Best Of The Rolling Stones_ '71 - '93,The Rolling Stones,3
Pollo Asado,All Request Live,Ween,1
Too Long,Discovery,Daft Punk,1
The Lord bless you and keep you,John Rutter - The Choral Collection,The Cambridge Singers / John Rutter,1
Superhereos,Discovery,Daft Punk,1
Breaking The Girl (Album Version),Blood Sugar Sex Magik,Red Hot Chili Peppers,1
Technologic,Human After All,Daft Punk,3
A Gaelic Blessing,John Rutter - The Choral Collection,The Cambridge Singers / John Rutter,1
DVNO,Justice,Justice,1
"We Are Your Friends (Milke ""Heavy Friends"" Remix)",We Are Your Friends,Justice Vs Simian,1
Something About Us,Discovery,Daft Punk,2
It's Coming Down,Fashion Nugget,Cake,1
Amityville,The Marshall Mathers LP,Eminem / Bizarre,1
