song_name,song_release,song_artist,listen_time
And I Wonder?,The Question,The Slackers,1
Llama y Verás,Silver Sorgo,Luis Alberto Spinetta,1
Smokers' Song,Love Tattoo,Imelda May,1
Feel So Bad,Someday Blues,Robin Trower,3
Papa's Home,Choice Cuts: The Capricorn Years 1991-1999,Widespread Panic,1
Bad Time,Passion,Robin Trower,1
Es geht wieder los,Sieben,Rodgau Monotones,2
Someday Blues,Someday Blues,Robin Trower,2
Two Rivers,Best Of Beck,Jeff Beck With Terry Bozzio And Tony Hymas,2
Silmät kii,Haloo Helsinki!,Haloo Helsinki!,1
The Fool And Me (2007 Digital Remaster),Bridge Of Sighs,Robin Trower,3
Movin' Out (Anthony's Song),The Stranger,Billy Joel,1
Going Down,Original Album Classics,Jeff Beck Group,1
It's Your Voodoo Working,Love Tattoo,Imelda May,1
Johnny Got A Boom Boom,Love Tattoo,Imelda May,2
Passion,Passion,Robin Trower,1
Dyin' Man,Til the Medicine Takes,Widespread Panic,3
Secret Doors,Passion,Robin Trower,2
Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,2
Deep Inside,Cream 1992-2008,Hardrive,1
Sweet Home Alabama [live],God & Guns [Special Edition],Lynyrd Skynyrd,1
Bring Me To Life [Almighty club mix],Bring Me To Life,Katherine Jenkins,2
Magic Carpet Ride,Gold,Steppenwolf,1
The Needle And The Spoon,Classics,Lynyrd Skynyrd,1
Born On The Bayou,At The Movies,Creedence Clearwater Revival,1
If You Have To Know,Srv,Stevie Ray Vaughan;Lonnie Mack,1
Rap Game,8 Mile,D-12,1
