song_name,song_release,song_artist,listen_time
Adam's Song,Enema Of The State,Blink-182,1
Don't Cry (Original),Greatest Hits,Guns N' Roses,3
Something In The Way,Nevermind,Nirvana,1
Superman (It's Not Easy),Songs From Dawson's Creek - Vol. II,Five for Fighting,2
Beautiful,Hotel,Moby,1
Livin' On A Prayer,Cross Road,Bon Jovi,1
Crazy,Get A Grip,Aerosmith,1
You're Crazy,G N' R Lies,Guns N' Roses,1
Drain You,Drain You,Nirvana,1
If He Should Break Your Heart,Trial By Fire,Journey,1
Float On,Float On,Modest Mouse,4
Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,3
Chasing Cars,Chasing Cars [live in Toronto],Snow Patrol,2
I Just Wanna Be Loved (LP Version),Smallville: The Talon Mix,AM Radio,2
In My Arms,Eyes Open,Snow Patrol,1
Hands Open,Eyes Open,Snow Patrol,1
Humans Being (Album Version),Music From The Motion Picture Twister-The Dark Side Of Nature,Van Halen,1
