song_name,song_release,song_artist,listen_time
Swallowed In The Sea,X & Y,Coldplay,2
Life In Technicolor,Viva La Vida Or Death And All His Friends,Coldplay,2
Clocks,A Rush Of Blood To The Head,Coldplay,2
Strawberry Swing,Viva La Vida - Prospekt's March Edition,Coldplay,2
Life In Technicolor ii,Viva La Vida - Prospekt's March Edition,Coldplay,4
The Scientist,The Scientist,Coldplay,2
In My Place,A Rush Of Blood To The Head,Coldplay,2
Lost!,Viva La Vida Or Death And All His Friends,Coldplay,2
Yellow,Yellow,Coldplay,3
Yellow,Deejay 25,Coldplay,2
Speed Of Sound,Speed Of Sound,Coldplay,1
