song_name,song_release,song_artist,listen_time
This Cowboy Song,Fields Of Gold - The Best Of Sting 1984 - 1994,Sting,1
Walk Of Life,Brothers In Arms,Dire Straits,1
Somewhere in the Middle,Live&Greetings From the Flow State,Dishwalla,1
Ember Drive,Redemption,Walls Of Jericho,1
Cancun,WicketWorldWide.COM,Natas,2
How Deep Is Your Love,The World's Most Popular Pianist Plays Bee Gees_ Elton John and Other Favorites,Richard Clayderman,1
a.k.a. I.D.I.O.T.,Barely Legal,The Hives,1
I'm Your Baby Tonight,Whitney The Greatest Hits,Whitney Houston,1
Hello,The World's Most Popular Pianist Plays Romantic Favorites,Richard Clayderman,1
Sie,Tabula Rasa,Einstuerzende Neubauten,7
Heartbreak Hotel,Whitney The Greatest Hits,Whitney Houston feat. Faith Evans and Kelly Price,7
Fruit of love,Café Ibiza Chillout Lounge Vol.04,Fixx,4
King & Queen,Reflections - A Retrospective,Mary J. Blige / John Legend,1
Light and space,Hypothetical,Threshold,1
