song_name,song_release,song_artist,listen_time
Back Against The Wall,Cage The Elephant,Cage The Elephant,1
Uprising,Uprising,Muse,1
Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,1
They Might Follow You,Tiny Vipers,Tiny Vipers,1
Bleed It Out [Live At Milton Keynes],Road To Revolution: Live At Milton Keynes,Linkin Park,1
Tim McGraw,Taylor Swift,Taylor Swift,1
Breakeven,Now That's What I Call Music! 72,The Script,1
The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses,1
Times Like These,On And On,Jack Johnson,1
Oxford Comma (Album),Vampire Weekend,Vampire Weekend,1
A-Punk (Album),Vampire Weekend,Vampire Weekend,1
Vanilla Twilight,Ocean Eyes,Owl City,1
Head Full Of Doubt/Road Full Of Promise,I And Love And You,The Avett Brothers,1
Ain't No Rest For The Wicked (Original Version),Cage The Elephant,Cage The Elephant,1
The Only Exception (Album Version),The Only Exception,Paramore,1
Do You Remember,In Between Dreams,Jack Johnson,1
What You Know,Tourist History,Two Door Cinema Club,1
Float On,Float On,Modest Mouse,1
Secrets,Waking Up,OneRepublic,1
I Will Follow You into the Dark (Album Version),Plans,Death Cab for Cutie,1
Pursuit Of Happiness (nightmare),Pursuit Of Happiness,Kid Cudi / MGMT / Ratatat,1
Creep (Explicit),Pablo Honey,Radiohead,1
If It Means A Lot To You,Homesick [Special Edition],A Day To Remember,1
Teach Me How To Dougie,Teach Me How To Dougie,California Swag District,2
Skinny Love,For Emma_ Forever Ago,Bon Iver,1
Home,Up From Below,Edward Sharpe & The Magnetic Zeros,1
Gold Guns Girls,Fantasies,Metric,1
Time To Pretend,Time To Pretend,MGMT,1
Electric Feel,The Anthems,MGMT,2
Cosmic Love,Lungs,Florence + The Machine,1
Bad Company,War Is The Answer,Five Finger Death Punch,1
Heads Will Roll,It's Blitz!,Yeah Yeah Yeahs,1
