song_name,song_release,song_artist,listen_time
miserabile visu {ex malo bonum},New Surrender,Anberlin,1
Sehr kosmisch,Musik von Harmonia,Harmonia,6
My Way Home Is Through You [B-Side],Famous Last Words,My Chemical Romance,1
Helena (So Long & Goodnight) (Album Version),Three Cheers For Sweet Revenge,My Chemical Romance,1
Kill All Your Friends [B-Side],The Black Parade [Deluxe Version],My Chemical Romance,1
I'm Not Okay (I Promise) (Live From Sessions@AOL),Life On The Murder Scene,My Chemical Romance,2
Alejandro,The Fame Monster,Lady GaGa,5
The Jetset Life Is Gonna Kill You (Album Version),Three Cheers For Sweet Revenge,My Chemical Romance,1
Soft Skeletons,New Surrender,Anberlin,1
Retrace,New Surrender,Anberlin,1
Cubicles,I Brought You My Bullets_ You Brought Me Your Love,My Chemical Romance,1
Skylines And Turnstiles,I Brought You My Bullets_ You Brought Me Your Love,My Chemical Romance,1
