song_name,song_release,song_artist,listen_time
Darlene (Album Version),The Complete Led Zeppelin,Led Zeppelin,4
Let's Get It Started,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Black Eyed Peas,1
Black Mirror,Neon Bible,Arcade Fire,1
Origen Extremo,Cuadros Dentro De Cuadros,Catupecu Machu,3
Let's Get Back,No Doubt,No Doubt,1
Twist And Shout,Tease Me,Chaka Demus & Pliers / Jack Radics / The Taxi Gang,1
Achy Breaky Heart,Country Classics,Billy Ray Cyrus,3
Venus In Furs,The Velvet Underground Story 2CD Set,The Velvet Underground / Nico,1
The Great Gig In The Sky,Dub Side Of The Moon,Easy Star All-Stars,2
The Daydream,The Daydream/the Disconnect,Tycho,1
Moonlight Drive [Version 1],The Doors [40th Anniversary Mixes],The Doors,4
Bats In The Belfry I,Hex,BigElf,5
In The Summertime,The Sound Of Summer,Mungo Jerry,1
Milkshake,Original Hits - Rap & Soul,Kelis,1
Tangerine  (Album Version),The Complete Led Zeppelin,Led Zeppelin,9
Under The Boardwalk,Classic Bruce Willis - The Universal Masters Collection,Bruce Willis,1
Strange Days,The Very Best Of [w/bonus tracks],The Doors,5
Teremtos,Csészényi tér,30Y,1
