song_name,song_release,song_artist,listen_time
Harder Better Faster Stronger,Discovery,Daft Punk,1
Honestly,VOTA,VOTA,2
Ona Kasuita,Mirando el mundo al revés,Che Sudaka,1
I'm Not Waiting In Line,For Me_ It's You,Train,2
Hey_ Soul Sister,Save Me_ San Francisco,Train,2
Digital Love,Ministry of Sound Presents Chilled II 1991-2009,Daft Punk,1
Give Me More,Just Like You,Keyshia Cole,1
Teenagers (Album Version),The Black Parade,My Chemical Romance,5
Gives You Hell,When The World Comes Down,The All-American Rejects,1
Non E_ Per Te_ Per Me,Alejandro Sanz 3,Alejandro Sanz,1
My Paper Heart (Album),My Paper Heart,Francesca Battistelli,3
Two Is Better Than One,Love Drunk,Boys Like Girls featuring Taylor Swift,1
Hold My Heart,Over And Underneath,Tenth Avenue North,1
I'm Letting Go (Album),It's Your Life EP,Francesca Battistelli,2
Fire It Up,Welcome To The Masquerade,Thousand Foot Krutch,1
I Hate Pretending (Album Version),Ten Silver Drops,Secret Machines,5
Monster (Album Version),Awake,Skillet,2
Technologic,Human After All,Daft Punk,1
I'm Not Okay (I Promise) (Live From Sessions@AOL),Life On The Murder Scene,My Chemical Romance,1
The Best Day,Fearless,Taylor Swift,2
You Belong With Me,Fearless,Taylor Swift,3
Free To Be Me [Dented Fender Sessions],My Paper Heart: Dented Fender Sessions,Francesca Battistelli,1
Breathing,No Name Face,Lifehouse,1
Goodbye,Exposed,Kristinia DeBarge,1
You Can Have Me (Album),These Simple Truths,Sidewalk Prophets,2
Bubbly,Bubbly,Colbie Caillat,1
For Once In My Life (Album Version),Michael Bublé,Michael Bublé,1
