song_name,song_release,song_artist,listen_time
Aunt Eggma Blowtorch,Everything Is,Neutral Milk Hotel,1
Full Circle,Breakout,Miley Cyrus,1
Poor Jackie,Rabbit Habits,Man Man,2
Hot N Cold (Manhattan Clique Remix Radio Edit),Hot N Cold,Katy Perry,1
Vidalia (Album Version),Oh! The Grandeur,Andrew Bird,1
Daisy And Prudence,Distillation,Erin McKeown,1
Everythings Just Wonderful,Alright_ Still,Lily Allen,1
The Ballad of Michael Valentine,Sawdust,The Killers,1
I Stand Corrected (Album),Vampire Weekend,Vampire Weekend,1
They Might Follow You,Tiny Vipers,Tiny Vipers,1
Monkey Man,You Know I'm No Good,Amy Winehouse,1
Intro,The Beat Tape Vol. 1,DJ Babu,2
Bleeding Hearts,Hell Train,Soltero,1
Knee Deep At The National Pop League,Underachievers Please Try Harder,Camera Obscura,1
Dreamlover,#1's,Mariah Carey,1
From Dusk Till Dawn,From Dusk Till Dawn,The Subs,5
Wet Blanket,Old World Underground_ Where Are You Now?,Metric,5
Guyamas Sonora,The Flying Club Cup,Beirut,2
Love,The Beat Tape Vol. 1,DJ Babu,2
Suspended From Class,Underachievers Please Try Harder,Camera Obscura,1
Empty Skies,Resist,Kosheen,1
Fast As I Can,Monday Morning Cold,Erin McKeown,1
Just The Way You Are,Heartbreakers (N),Barry White,1
Sleeping In (Album),Give Up,Postal Service,2
Gimme Sympathy,Gimme Sympathy,Metric,1
You Mustn't Kick It Around,Distillation,Erin McKeown,1
This Is My Life,Masser Af Succes,Kim Larsen;Gasolin',5
Help I'm Alive,Fantasies,Metric,2
Teenager,Modapop,Camera Obscura,1
Last Night A DJ Saved My Life,Glitter,Mariah Carey Featuring Busta Rhymes_ Fabulous And  DJ Clue,1
Dentro De Ti,Bipolar,La Sonrisa De Julia,2
Fanfare,Les Innocents,Les Innocents,1
Stadium Love,Fantasies,Metric,1
Spare-Ohs,Armchair Apocrypha,Andrew Bird,1
Interstate 8,Baron Von Bullshit Rides Again,Modest Mouse,1
All The Things That Go To Make Heaven And Earth,Challengers,The New Pornographers,1
Satellite Mind,Fantasies,Metric,1
Daddy's Eyes,Sawdust,The Killers,1
Catwalk Surprize,Tour Bus Diaries,White Flame,1
Señorita,Justified,Justin Timberlake,1
Camaro,Because Of The Times,Kings Of Leon,1
Behave,Sings The Greys,Frightened Rabbit,1
The Lighthouse,Our Love To Admire,Interpol,1
Stop Coming To My House,Happy Songs For Happy People,Mogwai,1
Tron,Antidotes,Foals,1
Say Hello To The Angels,Say Hello To The Angels/NYC,Interpol,1
Love And War (11/11/46) (Album Version),More Adventurous,Rilo Kiley,1
The greenhorn/Exile of Erin/Glasgow Reel,Music of Hair,Andrew Bird,1
Hieroglyphics,Ras Mek Peace,Midnite,1
Twilight Galaxy,Fantasies,Metric,1
Money Straight (Explicit Album Version),The Real Testament [Deluxe],Plies,1
Elephant Gun,The Gulag Orkestar,Beirut,1
Annihilation By The Hands Of God (Album Version),The All Star Sessions,Roadrunner United,5
