song_name,song_release,song_artist,listen_time
Halo,Halo,Beyoncé,3
Still,In Your Honor,Foo Fighters,14
Es Por Ti,Lagrimas Calidas - Edicion Especial,Fanny Lu,1
The Heat (Album Version),The Heat,NEEDTOBREATHE,4
Surrender,Surrender (Premiere Performance Plus Track),Jeremy Camp,1
Costumbres,Recordando ...,Shaila Dúrcal,1
I Could Sing Of Your Love Forever,I Will Be Here - 25 Love Songs,Sonicflood,1
Never Leave Me Alone,Ghetto Preacher,Nate Dogg,2
Your Auntie Grizelda,The Best Of The Monkees,The Monkees,1
Night Song,The Art of Organizing,Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,3
Bandera De Manos (Remix),La Vida Es Un Ratico,Juanes,1
Para Tu Amor,Mi Sangre,Juanes,2
Volver Volver,Recordando,Shaila Dúrcal,2
Volver A Verte,Recordando...,Shaila Dúrcal,1
Shine On (Album Version),Daylight,NEEDTOBREATHE,9
Fijate Bien,Fijate Bien,Juanes,1
Minas Piedras,La Vida Es Un Ratico,Juanes,1
Y Llegaste Tú,Corazón Ranchero,Shaila Dúrcal,2
Return (Album Version),The Heat,NEEDTOBREATHE,2
Hey_ Soul Sister,Save Me_ San Francisco,Train,5
Damelo,Mi Sangre,Juanes,1
Sacred Vision (Album),Around The Well,Iron And Wine,3
Bye bye,Lo Mejor De Vilma Palma,Vilma Palma e Vampiros,1
I Neva Said,Tha Cleanup,Knobody,1
We Give You Glory,Rivers Of Joy,Don Moen,1
Knew It All (Album Version),Daylight,NEEDTOBREATHE,2
A Dios Le Pido,A Dios Le Pido,Juanes,1
Two Lovers,60's Soul - Tell It Like It Is,Mary Wells,1
I Couldn't Love You More,Love Deluxe,Sade,1
I Like That,I Like That (ant Brooks Remixes),Richard Vission & Static Avanger Starring Luciana,2
La Camisa Negra,La Camisa Negra,Juanes,2
Hang On To Your Love,The Best Of Sade,Sade,3
Sing_ Sing_ Sing (Key-E-Premiere Performance Plus w/o Background Vocals),Hello Love (Premiere Performance Plus Track),Chris Tomlin,2
Introduction (Album Version),A Fever You Can't Sweat Out,Panic! At The Disco,3
Washed By The Water (Album Version),The Heat,NEEDTOBREATHE,7
My Little Suede Shoes,The Art of Organizing,Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,2
It Don't Have To Change,Get Lifted,John Legend featuring The Stephens Family,1
Entertainment Value (2006 Digital Remaster),For The Children,Labi Siffre,1
When Am I Going To Make A Living,Diamond Life,Sade,1
Picture,The Very Best Of Sheryl Crow,Sheryl Crow,17
Spare The Time (Album Version),The Heat,NEEDTOBREATHE,4
Tu Guardian,Mi Sangre,Juanes,1
Amor Eterno,Recordando...,Shaila Dúrcal,1
Smooth Operator,The Best Of Sade,Sade,5
Canto espontáneo 1,Danilo En Vivo,Danilo Montero,1
Take It Back,Disraeli Gears,Cream,1
Misfortune,Jed,Goo Goo Dolls,1
Number One,Get Lifted,John Legend featuring Kanye west,1
If I Could,In Between Dreams,Jack Johnson,8
Broken Wings,11,Bryan Adams,1
Follow My Lead,"Compliation Volume1 ""You Already Know"" Radio Version",Erk Tha Jerk featuring Clyde Carson,1
Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,7
Volvere,Dias Sucios,Corazones Estrangulados,17
A Part of Me Died,Stepping Stone V:1 The Best Bands You Have Never Heard,Slow Coming Day,3
Put Your Records On,Drive Time Anthems,Corinne Bailey Rae,5
Soldier Of Love,Soldier Of Love,Sade,1
You Are Here (Album Version),You Are Here,NEEDTOBREATHE,7
We Could Run Away (Album Version),The Heat,NEEDTOBREATHE,5
No Ordinary Love,The Best Of Sade,Sade,7
Tennessee (Pirate Radio Mix),Extended Revolution,ARRESTED DEVELOPMENT,15
Rayando el sol,Eclipse,Maná,7
Paradise,The Best Of Sade,Sade,4
Prego Amore,Unrest,Erlend Øye,2
Que Pasa,Mi Sangre,Juanes,1
Hoy Me Voy,La Vida Es Un Ratico,Juanes,1
Nothing Can Come Between Us,The Best Of Sade,Sade,1
You Are Good,Alive In South Africa,ISRAEL & NEW BREED,1
Never As Good As The First Time,Promise,Sade,1
Fotografía,Mi Sangre,Juanes / Nelly Furtado,3
New Print,Airplanes And Sparrows,Microstern,1
Close Your Eyes,Warm Your Heart,Aaron Neville / Linda Ronstadt,1
Las Tapas,Sus Mas Grandes Exitos,Lisandro Meza,5
Q-Ball,Season Of Da Siccness,Brotha Lynch Hung,1
In My Eyes,Spring Love - All Time Greatest Hits,Stevie B,3
Aerosol Burns,Fanfare in the Garden,Essential Logic,26
Gone Going,Monkey Business,Black Eyed Peas,8
Looks Like Love (Album Version),The Heat,NEEDTOBREATHE,7
Hosanna,I Will Go,Starfield,1
Kiss Of Life,The Best Of Sade,Sade,7
Angel,I Pray,Amanda Perez,1
