song_name,song_release,song_artist,listen_time
Extravaganza,Unpredictable,Jamie Foxx featuring Kanye West,1
Welcome Back (Album Version),Welcome Back,Mase,4
Money Comes And Goes (Album Version),Welcome Back,Mase,3
Urlando contro il cielo [Remastered],Primo tempo,Ligabue,5
Good Love,R&B Love Collection 08,Sheek Louch,1
Wasting My Time (Album Version),Welcome Back,Mase,2
For Da Low,Port Of Miami,Rick Ross,1
My Harlem Lullaby (Album Version),Welcome Back,Mase,2
Keep It On (Album Version),Welcome Back,Mase,2
The Love You Need (Featuring Rashad) (Album Version),Welcome Back,Mase,3
It Was A Good Day,Hip Hop - The Collection 3,Ice Cube,1
Gotta Survive (Album Version),Welcome Back,Mase,6
You Know What It Is  [feat Wyclef] (New Explicit Album Version),You Know What It Is,T.I.,1
Young'n (LP Version),Rhino Hi-Five: Fabolous,Fabolous,1
I Owe (Album Version),Welcome Back,Mase,1
Feel So Good (Album Version),Pure Urban Essentials 2010,Mase,1
Headz Up,Watermelon_ Chicken & Gritz [U.S. Explicit Version],Nappy Roots,2
I Wanna Go (Album Version),Welcome Back,Mase,1
La Vie Et Belle,Tout Le Monde Dance Non Stop,Mister AB & Rasta Killer,1
