song_name,song_release,song_artist,listen_time
The Cove,Thicker Than Water,Jack Johnson,1
Nothing from Nothing,To Die For,Billy Preston,1
Entre Dos Aguas,Flamenco Para Niños,Paco De Lucia,2
Under Cold Blue Stars,Under Cold Blue Stars,Josh Rouse,1
Riot Radio (Soundtrack Version),Nick & Norah's Infinite Playlist - Original Motion Picture Soundtrack,The Dead 60s,1
Sin límites (I),Amset,Amset,1
12 segundos de oscuridad,10 + Downloaded,Jorge Drexler,2
Ears To The Ground (Album Version),Under Cold Blue Stars,Josh Rouse,1
Food Chain (Album Version),Sounds Like This,Eric Hutchinson,1
Stronger,Graduation,Kanye West,1
Stronger,Graduation,Kanye West,1
Constellations,In Between Dreams,Jack Johnson,1
You're My Flame [Album Version],The Garden,Zero 7,1
Learn To Fly,There Is Nothing Left To Lose,Foo Fighters,5
Apuesta Por El Rock 'N' Roll,Antología Audiovisual,Héroes del Silencio,1
Paper Gangsta,The Fame Monster,Lady GaGa,1
You Don't Have To Believe Me (Album Version),Sounds Like This,Eric Hutchinson,1
Nothing Gives Me Pleasure,Under Cold Blue Stars,Josh Rouse,1
Dala,En Mana Kuoyo,Ayub Ogada,1
Ugly Stories,Under Cold Blue Stars,Josh Rouse,1
Soy,The Best Of,Gipsy Kings,1
Winter In The Hamptons,Nashville,Josh Rouse,1
Stacked Actors,There Is Nothing Left To Lose,Foo Fighters,1
Sehr kosmisch,Musik von Harmonia,Harmonia,1
Thum Nyatiti,En Mana Kuoyo,Ayub Ogada,1
Silvery Sleds (Album Version),Nick & Norah's Infinite Playlist - Original Motion Picture Soundtrack,Army Navy,1
My Love Has Gone,The Best Of The Rykodisc Years,Josh Rouse,1
Hollywood Bass Player,Country Mouse_ City House,Josh Rouse,1
Heaven's gonna burn your eyes,Hôtel Costes 7 by Stéphane Pompougnac,Thievery Corporation feat. Emiliana Torrini,1
Leap Year,Let's Build A Fire,+ / - {Plus/Minus},1
Summertime (Album Version),Subtitulo,Josh Rouse,1
Pilgrim,Country Mouse_ City House,Josh Rouse,1
Outside Villanova (Album Version),Sounds Like This,Eric Hutchinson,1
Let It Be Sung,If I Had Eyes,Jack Johnson / Matt Costa / Zach Gill / Dan Lebowitz / Steve Adams,5
I'll Be Missing You (Featuring Faith Evans & 112)(Album Version),No Way Out,Puff Daddy,1
Love Shack,Original Hits - Rock,The B-52's,1
Clarity,As/Is: Cleveland/Cincinnati_ OH - 8/03-8/04/04,John Mayer,1
Vamos A Bailar,Greatest Hits,Gipsy Kings,5
I?'m A Steady Rollin? Man,Diggin' Deeper Volume 7,Robert Johnson,1
Chiro,En Mana Kuoyo,Ayub Ogada,1
Nice To Fit In,Country Mouse_ City House,Josh Rouse,1
Futures [Album Version],Futures,Zero 7,1
It Hasn't Been Long Enough (Album Version),Sounds Like This,Eric Hutchinson,1
The Old Saloon,Incredibad,The Lonely Island,1
Gimme Stitches,There Is Nothing Left To Lose,Foo Fighters,1
Fever,We Feel Safer At Night,Takka Takka,6
Behind The Sea [Live In Chicago],Live In Chicago,Panic At The Disco,1
Champion,Graduation,Kanye West,1
Breakout,There Is Nothing Left To Lose,Foo Fighters,6
Do You Wanna Dance,Let's Have A Rock 'N' Roll Party - 36 Rockin' Greats,Bobby Freeman,2
Speed Of Sound,I Am The Cosmos,Chris Bell,1
Laughing,Murmur - Deluxe Edition,R.E.M.,1
Ragged Wood,Fleet Foxes,Fleet Foxes,1
Llueve,Llueve,Jorge Drexler,1
His Majesty Rides (Album Version),Subtitulo,Josh Rouse,5
No So Silent Night (album version),White Trash Christmas,Bob Rivers,1
Street Lights,Nashville,Josh Rouse,1
Mykonos,Sun Giant,Fleet Foxes,1
Christmas With Jesus (Album Version),Under Cold Blue Stars,Josh Rouse,1
Wa Winjigo Ero,En Mana Kuoyo,Ayub Ogada,1
Country Road,En Concert,Jack Johnson / Paula Fuga,1
The Pageant Of The Bizarre [Album Version],The Garden,Zero 7,1
Rain,The Broken String,Bishop Allen,1
Givin' It Up (Album Version),Subtitulo,Josh Rouse,1
Oh No,Noble Beast,Andrew Bird,1
Love Song For No One,Room For Squares,John Mayer,1
Jewels And Gold,A Book Like This,Angus & Julia Stone,1
Soft and Sweet,Superhero Brother,G. Love & Special Sauce,1
Italian Dry Ice,Country Mouse_ City House,Josh Rouse,1
Wonderful (Album Version),Subtitulo,Josh Rouse,1
Warning,Live in Malaysia 2004,Incubus,1
83,Serendipity - Music From The Miramax Motion Picture,John Mayer,1
Carolina (Album Version),Nashville,Josh Rouse,1
Neon,Where The Light Is: John Mayer Live In Los Angeles,John Mayer,1
The Middle,Bleed American,Jimmy Eat World,2
High and dry,12 segundos de oscuridad,Jorge Drexler,1
All That We Perceive,The Richest Man In Babylon,Thievery Corporation,1
El Otro Lado (Album Version),Subtitulo,Josh Rouse,1
The Christmas Song  (LP Version),Songs You Know - Christmas Soul Classics,King Curtis,1
God_ Please Let Me Go Back,House M.D. (Original Television Soundtrack),Josh Rouse,1
Domesticated Lovers,Country Mouse_ City House,Josh Rouse,1
Our Swords (Soundtrack Version),Nick & Norah's Infinite Playlist - Music From The Original Motion Picture Soundtrack,Band Of Horses,1
Are You In?,Monuments And Melodies,Incubus,2
Middle Management (Album Version),The Broken String,Bishop Allen,1
Drive,Make Yourself,Incubus,1
It's a Trip,Delights of the Garden,The Last Poets,1
Georgia Brown,Superhero Brother,G. Love & Special Sauce,1
Generator,There Is Nothing Left To Lose,Foo Fighters,1
Come Back To Bed,As/Is:  Philadelphia_ PA/Hartford_ CT - 8/14-8/15/04,John Mayer,1
He Doesn't Know Why,Fleet Foxes,Fleet Foxes,1
It's The Night Time,Nashville,Josh Rouse,1
Tu Quieres Volver,Greatest Hits,Gipsy Kings,1
Last Words (Soundtrack Version),Nick & Norah's Infinite Playlist - Music From The Original Motion Picture Soundtrack,The Real Tuesday Weld,1
Summer Dress 2 (iodine),Let's Build A Fire,+ / - {Plus/Minus},1
Trani,Youth And Young Manhood,Kings Of Leon,1
Bigger Isn't Better,Born on the Wrong Planet,The String Cheese Incident,1
Sun Giant,Sun Giant,Fleet Foxes,1
City Love,Any Given Thursday,John Mayer,1
Obiero,En Mana Kuoyo,Ayub Ogada,1
Right Back,40oz To Freedom,Sublime,8
Moonshine,Thicker Than Water,Jack Johnson,1
Lover,Smokey Rolls Down Thunder Canyon,Devendra Banhart,1
Neural Rust,Signify (Special Edition),Porcupine Tree,1
Holes To Heaven,Thicker Than Water,Jack Johnson,1
