song_name,song_release,song_artist,listen_time
Navegante,De Vuelos y de Sol,Fernando Delgadillo,6
Work It Out,Feedback,Jurassic 5 / Dave Matthews Band,2
Speed,Around The World,Yahel,3
Eve of seduction,Paradise Lost,Symphony X,28
Float Away,Float Away,Robbie Rivera,3
Domination,Paradise Lost,Symphony X,15
Living In A Box (7'' Version),Playlist: 80s Pop,Living In A Box,10
I Don't Wanna Walk Around With You  (Remastered Album Version ),Ramones: Expanded And Remastered,Ramones,5
The Turning,The Odyssey,Symphony X,2
One Day,Elevate,Morgan Page,3
Smoke and mirrors,Twilight in olympus,Symphony X,8
Me & My B*tch (Album Version),Ready To Die The Remaster,The Notorious B.I.G.,5
Journey Of Life,A Decade Of Trance - 2003_ Pt. 3,Push,6
Wind Farm,Better Late Than Never,Lange,1
The witching hour,The divine wings of tragedy,Symphony X,1
Candlelight fantasia,The divine wings of tragedy,Symphony X,11
No Sense,Alive in Seattle,Candlebox,1
The Relic,Twilight in olympus,Symphony X,1
Don´t do it,Don´t do it,World Clique,4
Why,On Kosmo,Sonique,7
On The Breath Of Poseidon,Live On The Edge Of Forever,Symphony X,1
Billion Bucks,Club Bangers,Stat Quo,2
You Can't Call Yourself A Secret,The Year Of The How-To Book,Eagle Seagull,1
Sea of lies,The divine wings of tragedy,Symphony X,8
Real World  (LP Version),Yourself Or Someone Like You,matchbox twenty,6
King Of Terrors,The Odyssey,Symphony X,3
I?'m A Steady Rollin? Man,Diggin' Deeper Volume 7,Robert Johnson,2
The serpent's kiss,Paradise Lost,Symphony X,6
Zenana,INDIA  Music For Inner Balance,Margot Reisinger,3
Prelude,Live On The Edge Of Forever,Symphony X,2
Communion And The Oracle,Live On The Edge Of Forever,Symphony X,1
Limbo (Remastered LP Version),Test For Echo,Rush,33
Crazy Love,Crazy Loving: The Best Of Poco 1975-1982,Poco,45
More Than Everything,Trancemaster 5008,Gareth Emery,4
Shades Of Grey,Symphony X,Symphony X,2
Someone like you,Butterflies,Sexy Sadie,1
My First Kiss (Feat. Ke$ha) [Album Version],My First Kiss,3OH!3,2
Stand Me Up,Music Music Music/Slip That Disc!,Dislocation Dance,4
Love Killer,Dressed to kiss,The Killer Barbies,1
Touched By The Sun,30 Best Trance Anthems Best Ever,Envio,1
Egypt,Live On The Edge Of Forever,Symphony X,6
Whispers,The Damnation Game,Symphony X,1
The Edge Of Forever,The Damnation Game,Symphony X,1
Premonition,Symphony X,Symphony X,3
The walls of Babylon,Paradise Lost,Symphony X,13
Of sins and shadows,The divine wings of tragedy,Symphony X,2
The divine wings of tragedy,The divine wings of tragedy,Symphony X,10
Solarcoaster,In Search Of Sunrise 3 - Panama,Solar Stone,1
Revelation (Divus Pennae ex Tragoedia),Paradise Lost,Symphony X,15
Masquerade,Symphony X,Symphony X,4
Oculus ex Inferni,Paradise Lost,Symphony X,15
In The Dragon's Den,Twilight In Olympus,Symphony X,1
Wicked,The Odyssey,Symphony X,4
De nuevo el paraiso (Album),Complices,Luis Miguel,2
The Damnation Game,The Damnation Game,Symphony X,6
A Mile In My Shoes ft. Sir Adrian,Earth Mover,Cosmic Gate,64
The Re-Up,Eminem Presents The Re-Up,Eminem / 50 Cent,5
T.I.A.,T.I.A.,K'Naan,15
The Odyssey,The Odyssey,Symphony X,27
Awakenings,The Odyssey,Symphony X,19
Inferno (unleash The Fire),The Odyssey,Symphony X,22
Rapture Or Pain,Symphony X,Symphony X,3
Bewildered,Missing... Presumed Having A Good Time,The Notting Hillbillies,1
A Lesson Before Dying,Symphony X,Symphony X,2
The accolade,The divine wings of tragedy,Symphony X,1
Accolade II,Music In Progress Vol.2 - Progressive Metal & More,Symphony X,26
Evolution (the Grand Design),Live On The Edge Of Forever,Symphony X,8
Our People,The Gold Collection,Tom Robinson,21
Set the world on fire (The lieof lies),Paradise Lost,Symphony X,28
