song_name,song_release,song_artist,listen_time
A Pain That Im Used To,Playing The Angel,Depeche Mode,2
Medicating,Trainwreck,Boys Night Out,1
Crystal Blue Persuasion,Anthology,Tommy James And The Shondells,9
Don't Dream It's Over,Recurring Dream_ Best Of Crowded House (Domestic Only),Crowded House,2
Marathon,Neighborhood Watch,Dilated Peoples,1
This Guy's In Love With You,Magic Moments - The Definitive Burt Bacharach Collection,Herb Alpert,1
Jamaica Roots II(Agora E Sempre),Nova Bis-Natiruts,Natiruts,2
Besame Mucho,The Best of Andrea Bocelli - 'Vivere',Andrea Bocelli,1
Groovin'  (LP Version),Stax/Volt - The Complete Singles 1959-1968 - Volume 8,Booker T. & The MG's,1
It's My Party,1960's School Party Night,Lesley Gore,6
Fredrika,Ratsafari,Mustasch,10
Pretzel Logic (Album Version),Live At The Beacon,Donald Fagen,8
Eminence Front,The Who - Ultimate Collection,The Who,2
It Had To Be You (Big Band and Vocals),Music From The Motion Picture When Harry Met Sally...,Harry Connick_ Jr.,1
Mr. Jones,Films About Ghosts (The Best Of Counting Crows),Counting Crows,1
You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,10
Groovin'  (Single Version),Groovin',The Young Rascals,1
We Don't Stop (Explicit),My Balls And My Word (Explicit),Young Bleed,1
The Waiting,Damn The Torpedoes / Southern Accents / Hard Promises,Tom Petty And The Heartbreakers,9
Found Home,End Of The Millenium,59 Times the Pain,1
Does Your Mama Know About Me,Motortown Revue - 40th Anniversary Collection,Bobby Taylor,2
Reasons,Perfect Angel/Adventures In Paradise,Minnie Riperton,1
One Watt,Discography,Jenny Piccolo,1
Heartbreak Warfare,Battle Studies,John Mayer,1
Saturday Nite,Greatest Hits,Earth_ Wind & Fire,1
Who's Real,The Last Kiss,Jadakiss / Swizz Beatz / OJ Da Juiceman,10
Valkea joulu - White Christmas-,Yö enkelten - kauneimmat joululaulut,Virtuoso,1
All My Friends,All My Friends,LCD Soundsystem,2
I'll Always Be Right There,18 Til I Die,Bryan Adams,1
Break It To Me Gently,Juice Newton's Greatest Hits,Juice Newton,1
Crystal,This is my sound,DJ The Joker,1
Aubrey (LP Version),Best Of Bread,Bread,1
Anyone Who Had A Heart,A Girl Called Dusty,Dusty Springfield,1
