a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOBPOHI128F57D02BF,1
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOCNLEI12A67021565,2
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SODDGNR12AF72A29F7,1
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SODWBCL12AB01809C7,1
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOHKZSM12A8C13E5D5,1
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOKGLWL12AB01846C1,1
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOKJKUJ12AF72A3618,1
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOMDVSL12A6D4F7230,3
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SONHJAZ12A6D4F67B0,1
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOSVUIU12A8AE4629D,1
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOWONQS12A6D4FC79A,1
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOXFQVY12A58A7B456,1
