song_name,song_release,song_artist,listen_time
Undo,Vespertine Live,Björk,6
Les Corps Glorieux (7 Visions De La Vie Des Ressuscités) (1939) : III L'Ange Aux Parfums,Messiaen Oeuvres Orgue,Olivier Messiaen,1
You're The One,If There Was A Way,Dwight Yoakam,2
Greenback Dollar,Money - Greenback Dollar,Kingston Trio,2
As You Sleep,North,Something Corporate,1
Eternal Flame (Single Version),Eternal Flame,Atomic Kitten,1
Tive Sim,Nova Bis-Cartola,Cartola,1
The Fear You Won't Fall,Unclear Sky,Joshua Radin,1
Hitsville U.K.,The Singles,The Clash,3
Feriado Na Roça,Cartola 70 Anos,Cartola,17
The Hazards Of Love 4 (The Drowned),The Hazards Of Love,The Decemberists,11
Rampage,Business As Usual,EPMD,10
Golpe Do Bau,O Bom- (Os Originais),Eduardo Araujo,1
Sinisten tähtien alla,Tatsum Tisal,J. Karjalainen & Mustat Lasit,1
Breed,With The Lights Out - Box Set,Nirvana,6
Canada,The End Is Here,Five Iron Frenzy,8
Yellin' At The Xmas Tree,Devil's Playground,Billy Idol,3
Mercy:The Laundromat,Westing (By Musket and Sextant),Pavement,3
Heaven Is A Truck,Quarantine The Past: The Best Of Pavement,Pavement,5
Revelry,Only By The Night,Kings Of Leon,7
The Gift,We Don't Need To Whisper,Angels and Airwaves,1
Rio,London Weekend,Another Sunny Day,1
Make Love To Your Mind,Playlist: The Very Best Of Bill Withers,Bill Withers,1
All Night Operator (Part 1),Ooh La La,Goldfrapp,6
Ain't Misbehavin,Summertime,Sam Cooke,7
JOG-O-MOTION PART 1,JOG-O-MOTION,BRICE_ JEAN-MARIE/BRICE_ JEAN-,1
Don't Go,Data Records DJ Sampler 2,Starting Rock Feat. Diva Avari,1
16 Candles,16 Candles,The Crests,1
Circus,Do You Like My Tight Sweater?,Moloko,1
Voices On A String (Album Version),Kill The House Lights,Thursday,1
Grace (Abbey Rd Napster Session),Napster Session,Simon Webbe,1
