song_name,song_release,song_artist,listen_time
Fader,Fader,The Temper Trap,1
Song For You,Away We Go Original Motion Picture Soundtrack,Alexi Murdoch,1
Soldier On,Conditions,The Temper Trap,4
Racecar,Wake Up_ Thunderbabe,The Battle Royale,1
Now And Always (Album Version),Life In Slow Motion,David Gray,1
Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,1
More Adventurous (Album Version),More Adventurous,Rilo Kiley,1
Only You,We Were Here,Joshua Radin,4
Hayling,Audiovisual Couture Vol.1 by DJ koweSix,FC/ Kahuna,3
Dance With Me_ Now Darling,Eveningland,Hem,1
Ikea,Best.  Concert.  Ever.,Jonathan Coulton,2
Resurrection,Conditions,The Temper Trap,1
Take Me Somewhere Nice,Rock Action,Mogwai,1
Indigo Eyes,Wild Birds,Peter Murphy,1
Basic Space,Various Artists/Rough Trade Counter Culture 09,The xx,1
It Don't Matter,Donavon Frankenreiter,Donavon Frankenreiter,1
You You You You You,Pieces of April,The 6ths,1
Funny Little Frog,The Life Pursuit,Belle & Sebastian,1
Fistful of Love,The Lake,Antony & The Johnsons,1
You're My Baby,Walk The Line (Original Motion Picture Soundtrack),Joaquin Phoenix,1
Then I'll Be Smiling,Still Waiting For Spring,Matt Nathanson,1
Poses,Poses,Rufus Wainwright,1
Fools,Conditions,The Temper Trap,1
Kiss My Name,The Crying Light,Antony & The Johnsons,1
Coxcomb Red,The Lioness,Songs:Ohia,1
Place To Be,Pink Moon,Nick Drake,1
Drum Song,Conditions,The Temper Trap,2
Camaro,Because Of The Times,Kings Of Leon,1
Chariot,Chariot,Gavin DeGraw,1
Letters From The Sky,Civil Twilight,Civil Twilight,1
It's Good To Be In Love,Details,Frou Frou,1
Je T'aime Till My Dying Day,Seven Lives Many Faces,Enigma,1
What Can I Do?,I Am A Bird Now,Antony & The Johnsons,1
At The End Of The Day,Foley Room,Amon Tobin,2
Down River,Conditions,The Temper Trap,2
Love Is All,Echoes,The Rapture,2
Brand New Colony (Album),Give Up,Postal Service,1
You On My Mind In My Sleep,Alone With Everybody,Richard Ashcroft,1
Downtown Mayors Goodnight_ Alley Kids Rule,Lose All Time,You Say Party! We Say Die!,2
The Scientist,The Scientist,Coldplay,1
Deeper Than Love,Antony & The Johnsons,Antony & The Johnsons,1
Polaris,Simple Things,Zero 7,1
The Universe is Going To Catch You,In the Attic of the Universe,The Antlers,1
Blue Angel,Antony & The Johnsons,Antony & The Johnsons,1
Honey And The Moon [Radio Edit],Honey And The Moon,Joseph Arthur,1
In The Waiting Line,Simple Things,Zero 7,1
Cuddle Fuddle,The Inbetweeners,Passion Pit,2
Silence Must Be Heard,The Screen Behind The Mirror,Enigma,2
Playground Love,Playground Love,Air,1
Angeles,Either Or,Elliott Smith,1
Howlin' For My Darlin',88th Street Blues,Smokey Wilson,1
We're All In This Together,Transamerica (Original Motion Picture Soundtrack),Old Crow Medicine Show,1
Dog Days Are Over (Demo),Lungs,Florence + The Machine,1
Trunk,Because Of The Times,Kings Of Leon,1
Independently Happy,Foiled,Blue October,3
You Are the Moon (Album Version),Like Vines,The Hush Sound,1
You've Got The Love,Lungs,Florence + The Machine,3
Between The Bars,Either Or,Elliott Smith,1
Dame Tu Querer (musa),In Beats We Trust,Sidestepper,1
I Want You,Only By The Night,Kings Of Leon,1
Callas Went Away,McMxc A.D. (More Music Version),Enigma,1
Pink Moon,Pink Moon,Nick Drake,1
Pecan Pie,Stay Golden_ Smog: The Best Of Golden Smog - The Ryko Years,Golden Smog,1
Snow Angel,Snow Angels,Over The Rhine,1
First Day Of My Life (Single Version),First Day Of My Life,Bright Eyes,2
Eyes As Candles,Manners,Passion Pit,1
Fall To Pieces,At The Point,Matt Nathanson,1
Breathe,The Chillout Lounge,Urban Myth Club,3
From The Station,Hell Train,Soltero,1
When You're Walking Away,American Myth,Jackie Greene,1
Bubble Toes,Brushfire Fairytales,Jack Johnson,1
Anyone Else But You,Juno - Music From The Motion Picture,Michael Cera & Ellen Page,1
Somebody's Watching Me,The Weekend,Rockwell,1
Nantes,The Flying Club Cup,Beirut,1
Divine,Antony & The Johnsons,Antony & The Johnsons,1
Most of Us,What Makes Your World Go Round?,Arkitekt,1
Arizona,Because Of The Times,Kings Of Leon,1
Set the Woods on Fire,Set the Woods on Fire,Art In Manila,1
Tighten Up,Tighten Up,The Black Keys,1
Girls Night Out,Speaking Of The Davenports,The Davenports,1
Group Four,Mezzanine,Massive Attack,1
McFearless,Because Of The Times,Kings Of Leon,1
Rapture,Antony & The Johnsons,Antony & The Johnsons,1
The Modern Leper,The Midnight Organ Fight,Frightened Rabbit,1
Colorbars,Figure 8,Elliott Smith,1
Rest,Conditions,The Temper Trap,1
In The Aeroplane Over The Sea,In The Aeroplane Over The Sea,Neutral Milk Hotel,1
Cosmic Love,Lungs,Florence + The Machine,1
Twilight,Antony & The Johnsons,Antony & The Johnsons,1
Gone,Some Mad Hope,Matt Nathanson,1
I Adore You,I Adore You,Melpo Mene,1
Tried to Be Good,Alison Statton,Pants Yell!,1
Ragoo,Because Of The Times,Kings Of Leon,1
Swimming In The Flood,Manners,Passion Pit,1
