song_name,song_release,song_artist,listen_time
Full Circle,Breakout,Miley Cyrus,1
Halo,Halo,Beyoncé,3
Harder Better Faster Stronger,Discovery,Daft Punk,3
Move Along,Move Along,The All-American Rejects,1
Uprising,Uprising,Muse,3
Seven Nation Army,Seven Nation Army,The White Stripes,2
Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,7
The Saltwater Room,Ocean Eyes,Owl City,5
Imma Be,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,3
Tangled Up,Not Without A Fight,New Found Glory,1
Disappear,Wizards Of Waverly Place,Selena Gomez,1
Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,3
'Till I Collapse,The Eminem Show,Eminem / Nate Dogg,2
Decades Of Despair,Aren´t You Dead Yet?,Carnal Forge,2
Bottom of a Bottle (Explicit Album Version),Bottom Of A Bottle,Smile Empty Soul,9
Wish You Were Here,Morning View,Incubus,7
They Might Follow You,Tiny Vipers,Tiny Vipers,3
Naturally,Kiss & Tell,Selena Gomez & The Scene,1
Enter Sandman,Metallica,Metallica,2
Bleed It Out [Live At Milton Keynes],Road To Revolution: Live At Milton Keynes,Linkin Park,6
Clocks,A Rush Of Blood To The Head,Coldplay,6
My Happy Ending,Under My Skin,Avril Lavigne,3
Whataya Want From Me,Whataya Want From Me,Adam Lambert,4
Dental Care,Ocean Eyes,Owl City,6
American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version),The Original Broadway Cast Recording 'American Idiot' Featuring Green Day,Green Day,5
Day 'N' Nite,R&B Yearbook,Kid Cudi Vs Crookers,3
Somebody To Love,My Worlds,Justin Bieber,4
Hey_ Soul Sister,Save Me_ San Francisco,Train,7
Mia,First Love,Emmy The Great,2
Breakeven,Now That's What I Call Music! 72,The Script,3
One Time,One Time,Justin Bieber,3
Hotel California,Hotel California / Pretty Maids All In A Row [Digital 45],Eagles,3
Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,Shakira Featuring Wyclef Jean,3
Crawling (Album Version),Hybrid Theory,Linkin Park,6
The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses,3
Times Like These,On And On,Jack Johnson,1
Monster,The Fame Monster,Lady GaGa,4
Just Dance,Just Dance,Lady GaGa / Colby O'Donis,3
Down To Earth,My World,Justin Bieber,5
Lean Back [Remix feat. Lil Jon_ Eminem_ Mase & Remy Martin] (Album Version - Amended),All Or Nothing,Fat Joe,8
Hey There Delilah,Now That's What I Call Music! 68,Plain White T's,3
Sehr kosmisch,Musik von Harmonia,Harmonia,7
Far Away (Album Version),All The Right Reasons,Nickelback,2
When It All Goes Wrong Again,Songs From An American Movie_ Vol. Two: Good Time For A Bad Attitude,Everclear,7
U Smile,My Worlds,Justin Bieber,3
Livin' On A Prayer,Cross Road,Bon Jovi,3
Gives You Hell,When The World Comes Down,The All-American Rejects,3
Eenie Meenie,Eenie Meenie,Sean Kingston and Justin Bieber,3
A-Punk (Album),Vampire Weekend,Vampire Weekend,3
Vanilla Twilight,Ocean Eyes,Owl City,3
Love Me,My Worlds,Justin Bieber,5
Superman,The Eminem Show,Eminem / Dina Rae,4
Karma Police,OK Computer (Collector's Edition),Radiohead,2
Imperfection (Album Version),Collide,Skillet,5
Mockingbird,R&B 2006,Eminem,3
Twisted,Kicked In The Teeth,Zeke,1
Te Amo,Rated R,Rihanna,3
Black,Ten,Pearl Jam,3
That Should Be Me,My Worlds,Justin Bieber,3
Yeah!,Confessions,Usher Featuring Lil' Jon & Ludacris,2
