song_name,song_release,song_artist,listen_time
J'aurais bien voulu,Dances of Resistance,Babylon Circus,1
yue quan shi,Time Flies,Alex Fong,5
Where Is My Mind?,Wave Of Mutilation: Best Of Pixies,Pixies,2
Belle de Jour,Daily Lama,De-Phazz,1
In Lonelienes,Enthraled by the Wind of Lonelienes,Raison D'être,5
Parade acoustique,Dances of Resistance,Babylon Circus,1
Interlude Barbare,Dances of Resistance,Babylon Circus,1
Jailbreak,Artist Karaoke Vol. 36 (Sing the Songs of AC/DC),Charttraxx Karaoke,1
I Love The Dead (Album Version),Billion Dollar Babies,Alice Cooper,5
M1 A1,Gorillaz (Clean),Gorillaz,1
Outro,Los De Atrás Vienen Conmigo,Calle 13,2
Vem Vet,Lisa Ekdahl,Lisa Ekdahl,1
Purer_ Softer_ Deader,Happens Secretly,Kippi Kaninus,1
When You're Gone,When You're Gone,Avril Lavigne,1
"The Next Time You Say ""Forever",Middle Cyclone,Neko Case,1
Hit The Lights,Some Kind Of Monster,Metallica,1
Rise,Compact Disc,Public Image Ltd,1
Celebration,Collection,Osibisa,1
Nippon Takeover,Nippon Takeover Ep,Tsunami Wazahari,1
Fiction,15 MINUTES,Nik Kershaw,5
La Aguacatona,Calle 13 (Explicit Version),Calle 13,1
Dances of Resistance,Dances of Resistance,Babylon Circus,3
La Grasa De Las Capitales,Grasa De Las Capitales,Seru Giran,1
Intro,Residente o Visitante,Calle 13,2
Chew,The Sky Is Falling and I Want My Mommy,Jello Biafra With Nomeansno,5
Theme From Gutbuster (Rasmus Remix Edit),Theme From 'Gutbuster' (playlist 2),Bentley Rhythm Ace,5
It's My Life,New Romantics,Talk Talk,5
In The Hands Of The Gods (Featuring Biz Markie),Fragments Of Freedom,Morcheeba,1
A Limpiar El Sucio,Residente o Visitante,Calle 13,1
A Decent Life,Give Me Fire,Mando Diao,1
Love Is A Losing Game,Frank & Back to Black,Amy Winehouse,1
Tengo Hambre,Calle 13 (Clean Version),Calle 13,1
Left Hand Suzuki Method,Gorillaz,Gorillaz,2
Atrévete te te,Calle 13 (Explicit Version),Calle 13,1
Eldorado 1997,Proxima Estacion Esperanza,Manu Chao,1
Black River,Amos Lee,Amos Lee,1
Eiti-Leda,Seru Giran,Seru Giran,1
Bienvenidos A Mi Mundo,Los De Atrás Vienen Conmigo,Calle 13,1
One,The Very Best Things [1995-2008],Filter,5
In A Real Love,Shaken Not Stirred,Phil Vassar,1
Warlord,Dances of Resistance,Babylon Circus,2
Oh Jungleland,Themes - Volume 5,Simple Minds,1
Rosa,Mais,Marisa Monte,1
Tal Para Cual,Los De Atrás Vienen Conmigo,Calle 13,1
La Crema,Residente o Visitante,Calle 13,1
Cabe-c-o,Calle 13 (Explicit Version),Calle 13,1
Lost In The Jungle,Dances of Resistance,Babylon Circus,2
The Difference,Bringing Down The Horse,The Wallflowers,5
Guantanamera/ Hijo Nuestro,Greatest Hits,Todos Tus Muertos,1
I Don't Want To Be Late,Only Love Can Conquer 1976-1979,Prince Alla,1
Algo Con-Sentido,Residente o Visitante,Calle 13 Featuring pg-13,1
Billy Breathes,Billy Breathes,Phish,5
New York City Cops,Is This It,The Strokes,2
Electro Movimiento,Latin 101,Calle 13,1
The Boston Rag,The Very Best Of Steely Dan,Steely Dan,5
Esto Con Eso,Los De Atrás Vienen Conmigo,Calle 13,1
La Perla,Los De Atrás Vienen Conmigo,Calle 13 Feat. Rubén Blades Y La Chilinga,1
Spirit,The Collection,Sounds Of Blackness / Craig Mack,1
Thoia Thoing,The R. In R&B Collection: Volume 1,R. Kelly,1
Sugar Sugar,Original Hits - Number 1s,The Archies,1
Survivor,Ministry of Sound Miami Live 2008,Tiger Stripes,2
One Way,Visual Paradox,Code Of Ethics,2
Denia,Proxima Estacion Esperanza,Manu Chao,1
The Four Horsemen,Kill 'Em All,Metallica,1
Solar Powered,Masters Of The Universe,Binary Star,1
No Hay Nadie Como Tú,No Hay Nadie Como Tú,Calle 13 Featuring Café Tacuba,1
Fiesta De Locos,Los De Atrás Vienen Conmigo,Calle 13,1
La Fokin Moda,Residente o Visitante,Calle 13,1
Pi-di-di-di,Calle 13 (Clean Version),Calle 13,1
Sin Exagerar,Residente o Visitante,Calle 13 Featuring Tego Calderón,1
Un Beso de Desayuno,Residente o Visitante,Calle 13,1
Together In Electric Dreams,The Greatest Hits,The Human League,1
The Lark,Live In Dublin,Moving Hearts,1
Marbres,Common Chord (Live),Encre,5
Intel-lú-Ayala,Calle 13 (Clean Version),Calle 13,1
Spiders And Flies,Love And Other Demons,Strangelove,1
