song_name,song_release,song_artist,listen_time
Walking In My Shoes,Greyest Of Blue Skies,Finger Eleven,2
Sad Sad Day,Cockeyed World,The Griswolds,1
Muevan Las Industrias,Grandes Exitos,Los Prisioneros,16
Steve Berman,Relapse: Refill,Eminem,2
My Carousel,Greyest Of Blue Skies,Finger Eleven,4
My Way Home,The Clarence Greenwood Recordings,Citizen Cope,1
Ronnie,Load,Metallica,3
Son's Gonna Rise,The Clarence Greenwood Recordings,Citizen Cope featuring Carlos Santana,1
'97 Bonnie & Clyde,The Slim Shady LP,Eminem,1
The Real Slim Shady,Curtain Call,Eminem,3
Bullet And A Target,Bullet And A Target,Citizen Cope,1
I'm Back,The Marshall Mathers LP,Eminem,3
My Name Is,The Slim Shady LP,Eminem,1
Cowboy Coffee,More Noise And Other Disturbances,Mighty Mighty Bosstones,3
Calle Del Aire,Calle Del Aire,Estrella Morente,5
Amityville,The Marshall Mathers LP,Eminem / Bizarre,2
If I Had,The Slim Shady LP,Eminem,1
Broken Words,Greyest Of Blue Skies,Finger Eleven,2
Bones Joints,Greyest Of Blue Skies,Finger Eleven,2
Toca's Miracle,Godskitchen - The Anthems 2009,Fragma,5
First Time,Greyest Of Blue Skies,Finger Eleven,4
Criminal,The Marshall Mathers LP,Eminem,2
Stay And Drown,Greyest Of Blue Skies,Finger Eleven,2
Marshall Mathers,The Marshall Mathers LP,Eminem,3
All Moving Parts (Stand Still),Technical Ecstasy,Black Sabbath,10
Public Service Announcement,The Slim Shady LP,Eminem,1
D'Artagnan's Theme,The Clarence Greenwood Recordings,Citizen Cope,1
Famous,Greyest Of Blue Skies,Finger Eleven,2
Noche De Paz?,Calle Del Aire,Estrella Morente,5
MIDNIGHT - RADIO VERSION,MIDNIGHT,UN-CUT,1
Drag You Down,Greyest Of Blue Skies,Finger Eleven,4
Unite (2009 Digital Remaster),Hello Nasty (Remastered Edition),Beastie Boys,1
