song_name,song_release,song_artist,listen_time
Freedom Blade,Field Studies,This Will Destroy You,11
Grandfather Clock,Young Mountain,This Will Destroy You,12
Harder Better Faster Stronger,Discovery,Daft Punk,1
Phantom Part 1.5 (Album Version),A Cross The Universe,Justice,3
Human After All (Alter Ego Remix ),Human After All,Daft Punk,1
I Got Mine,Attack & Release,The Black Keys,1
Caterpillar House,Dandelion Gum,Black Moth Super Rainbow,2
Face To Face (Cosmo VItelli Remix),Daft Club,Daft Punk,1
Pogo,Idealism,Digitalism,2
Rorol,Identification Parade,Octopus Project,20
Tchaparian,The Warning,Hot Chip,1
Sometimes Things Get_ Whatever,Random Album Title ,Deadmau5,1
Auto-Dub,Skream!,Skream,7
That Was Just A Dream,Bright Like Neon Love,Cut Copy,2
Face To Face (Demon Remix),Daft Club,Daft Punk,1
Aerodynamic,Discovery,Daft Punk,1
Swallowed In The Sea,X & Y,Coldplay,2
Marble House,Marble House,The Knife,1
Hilarious Movie Of The 90s,Pause,Four Tet,11
One More Time (Romanthony's Unplugged),Daft Club,Daft Punk,2
Strobe (Michael Woods Remix),Strobe,Deadmau5,1
Echo Sam,LP,Holy Fuck,3
Indo Silver Club,Homework,Daft Punk,2
Younger Than Springtime,South Pacific (Original Broadway Cast),William Tabbert,1
Take It In,One Life Stand,Hot Chip,1
We're Looking For A Lot Of Love,Made In The Dark,Hot Chip,2
Emotion,Human After All,Daft Punk,5
Slip,Random Album Title ,Deadmau5,2
Parks,Pause,Four Tet,1
Korg Rhythm Afro,Holy Fuck,Holy Fuck,3
Us V Them,Sound Of Silver,LCD Soundsystem,2
Monkey Man,You Know I'm No Good,Amy Winehouse,1
Fifths (Original Mix),Hi-Bias: Miami Mix 2010 House Essentials,Deadmau5,1
Love,Attack Decay Sustain Release,Simian Mobile Disco,4
Stay Lit,Latin,Holy Fuck,3
TTHHEE PPAARRTTYY,Justice,Justice,4
Love Theme,Music For My Friends EP,Fred Falke,1
We Have Love,One Life Stand,Hot Chip,2
Newjack,Justice,Justice,1
Staralfur,Agaetis Byrjun,Sigur Ros,15
Full Circle (Explicit),Full Circle,Drowning Pool,2
One Minute To Midnight,Justice,Justice,11
This Unfolds,There Is Love In You,Four Tet,2
Sister Winter,Songs For Christmas,Sufjan Stevens,1
Hippie Priest Bum-out (Edit),North American Scum,LCD Soundsystem,2
Life In Technicolor,Viva La Vida Or Death And All His Friends,Coldplay,2
Around The World (Motorbass Vice Mix),Around The World,Daft Punk,1
Ringer,Ringer,Four Tet,2
Song For Shelter,Ya Mama & Song For Shelter,Fatboy Slim,3
Latin America,Latin,Holy Fuck,4
Next Girl,Tighten Up,The Black Keys,1
Crying At The Aquarium,Identification Parade,Octopus Project,5
Human After All (SebastiAn Remix ),Human After All,Daft Punk,1
Clocks,A Rush Of Blood To The Head,Coldplay,2
a joy,Everything Ecstatic,Four Tet,1
My Glorious,History Makers: Greatest Hits,Delirious?,1
Heysátan,Takk...,Sigur Rós,9
Melt!,Los Angeles,Flying Lotus,2
O Samba E O Tango,Fina Estampa Ao Vivo,Caetano Veloso,2
Lights & Music,Lights & Music,Cut Copy,6
Bees,The Milk Of Human Kindness,Caribou (formerly Dan Snaith's Manitoba),1
Pet Monster Shotglass,1983,Flying Lotus,3
Hustler,Hustler,Simian Mobile Disco,3
Reclaimer,Halo 2 (Original Soundtrack) Volume 2,Martin O'Donnell And Michael Salvatori,1
Super Inuit (Studio) [Bonus Track],LP,Holy Fuck,2
Saturdays,Bright Like Neon Love,Cut Copy,1
Arcade Robot,Oi Oi oi,Boys Noize,5
Neon Knights,The Looks,MSTRKRFT,11
Deny Selected,Oi Oi oi,Boys Noize,4
As Serious As Your Life,Rounds,Four Tet,1
Hold The Ladder,One Ten Hundred Thousand Million,Octopus Project,6
Year of the Suckerpunch,Show Your Colors,Amoral,1
The Captain,Silent Shout,The Knife,5
Í Gær,Hvarf - Heim,Sigur Rós,1
SexSlaveShip,Los Angeles,Flying Lotus,3
