song_name,song_release,song_artist,listen_time
Beijing,Wooden Arms,Patrick Watson,1
Diary,The Diary Of Alicia Keys,Alicia Keys featuring Tony! Toni! Toné! and Jermaine Paul,3
Caught in a Jar,Live on Lansdowne_ Boston MA,Dropkick Murphys,1
Greenback Dollar,Karaoke: 60's Star Power - Singing to the Hits,The Kingston Trio,1
Shampoo Suicide,You Forgot It In People,Broken Social Scene,1
Swimmers,Broken Social Scene,Broken Social Scene,1
Rock'n Latex,Novo Rock,69,1
Big Bird In A Small Cage,Big Bird In A Small Cage,Patrick Watson,1
Running Up That Hill,Night Drive,Chromatics,1
Camera Talk,Camera Talk,Local Natives,1
Good To Go,Elliott Smith,Elliott Smith,1
Oh Well_ OK,XO,Elliott Smith,1
Guyamas Sonora,The Flying Club Cup,Beirut,1
Silver Lining (Album Version),Under The Blacklight,Rilo Kiley,1
No frills,The Working Class Dad,Micall Parknsun,2
Coming Up Roses,Elliott Smith,Elliott Smith,2
Satellite,Elliott Smith,Elliott Smith,2
She Said_ She Said,The Big Come Up,The Black Keys,1
Michael A Grammar,Tender Buttons,Broadcast,1
Elevator,Magic Potion,The Black Keys,1
Say Yes,Either Or,Elliott Smith,1
The New Chapter,Reformation,Kiuas,1
Single File,Elliott Smith,Elliott Smith,2
The Garden,Is This Desire?,PJ Harvey,1
A Perfect Day Elise,Is This Desire?,PJ Harvey,1
Tremola Debut,Broken Social Scene,Broken Social Scene,1
U Killed It,Alright_ Still (Deluxe),Lily Allen,7
Easy Way Out,Figure 8,Elliott Smith,1
Hard Row,Thickfreakness,The Black Keys,1
La Llorona,March of the Zapotec and Realpeople Holland,Beirut,2
Just A Little Heat,Magic Potion,The Black Keys,1
A Sunday Smile,The Flying Club Cup,Beirut,2
Playboy,Dito E Feito,Os Travessos,1
Tears In The Typing Pool,Tender Buttons,Broadcast,1
Major Label Debut,Broken Social Scene,Broken Social Scene,2
Kings Crossing,From a Basement On The Hill,Elliott Smith,1
Rose Parade,Either Or,Elliott Smith,1
The River,Is This Desire?,PJ Harvey,1
Lost Cause,Sea Change,Beck,1
Corporeal,Tender Buttons,Broadcast,1
Safety Bricks,Broken Social Scene Presents: Spirit If...,Kevin Drew,1
Girl Is On My Mind,Rubber Factory,The Black Keys,1
Elephant Gun,The Gulag Orkestar,Beirut,1
Capture The Flag,You Forgot It In People,Broken Social Scene,1
Our Faces Split The Coast In Half,Broken Social Scene,Broken Social Scene,1
Pictures Of Me,Either Or,Elliott Smith,1
Late nineties bedroom rock for the missionaries,You forgot it in people,Broken Social Scene,1
Lies,Attack & Release,The Black Keys,1
St Ides Heaven,Elliott Smith,Elliott Smith,1
Things Ain't Like They Used To Be,Attack & Release,The Black Keys,1
The Penalty,The Flying Club Cup,Beirut,1
Clementine,Elliott Smith,Elliott Smith,3
The Shrew,March of the Zapotec and Realpeople Holland,Beirut,1
Dress,Dry,P J Harvey,1
SHTML,Super Warren MMIV,Y.A.C.H.T.,1
Blasphemous rumours,Angelzoom,ANGELZOOM,1
All You Ever Wanted,Attack & Release,The Black Keys,1
No Name No. 5,Either Or,Elliott Smith,1
Stars and sons,You forgot it in people,Broken Social Scene,2
Psychotic Girl,Attack & Release,The Black Keys,1
Bandwitch,Broken Social Scene,Broken Social Scene,1
Set The Night To Music,The Best Of Maxi Priest,Maxi Priest,1
Pacific Theme,You Forgot It In People,Broken Social Scene,1
Always (Azerbaijan),Eurovision Song Contest 2009,AySel & Arash,1
Put Your Records On,Drive Time Anthems,Corinne Bailey Rae,1
Behind The Sea [Live In Chicago],Live In Chicago,Panic At The Disco,1
Needle In The Hay,Elliott Smith,Elliott Smith,2
Christian Brothers,Elliott Smith,Elliott Smith,2
Streets Of London,Spiral Staircase,Ralph McTell,1
Same Old Thing,Attack & Release,The Black Keys,1
Da Da Da Da,Bee Hives,Broken Social Scene,1
Unto Others,Slaughter Of The Soul,At The Gates,2
The Concubine,March of the Zapotec and Realpeople Holland,Beirut,1
Hoola,Coconut,Archie Bronson Outfit,1
A Distorted Reality is Now a Necessity To Be Free,From a Basement On The Hill,Elliott Smith,1
Nattura,Nattura,Björk,1
Postcards From Italy,The Gulag Orkestar,Beirut,2
A Boy Like Me,Children Of Mu,Patrick Wolf,1
Sex In Secret,Listen Up With Cabaret Voltaire,Cabaret Voltaire,1
Subject To the Ladder,Tender Buttons,Broadcast,1
Everything Is Everything,Everything Is Everything,Phoenix,1
Large Pro Says,Main Source (Clean),Large Professor,1
The Unforgiven III,Death Magnetic,Metallica,2
Kev's Message For Charlie,Captured Athems For An Empty Bathtub,K.C. Accidental,1
Till I Get My Way,Rubber Factory,The Black Keys,1
The Last Hour,From a Basement On The Hill,Elliott Smith,1
Cranley's Gonna Make It,Feel Good Lost,Broken Social Scene,1
You're The One,Magic Potion,The Black Keys,1
Oh Adeline,The Bear,Stephen Kellogg & The Sixers,6
Twilight,From a Basement On The Hill,Elliott Smith,1
Daves Dream,The Future Crayon,Broadcast,1
On a Bayonet,March of the Zapotec and Realpeople Holland,Beirut,1
I Found The F,Tender Buttons,Broadcast,1
Strange Times,Strange Times,The Black Keys,1
The White Lady Loves You More,Elliott Smith,Elliott Smith,2
Every Kinda People,Double Fun,Robert Palmer,1
Distant Call,The Future Crayon,Broadcast,1
