song_name,song_release,song_artist,listen_time
Barcelona,The Freddie Mercury Album,Freddie Mercury And Montserrat Caballe,4
Nah!,Up!,Shania Twain,6
Letters To You,Drive Thru Records Greatest Hits,Finch,10
The Great Pretender,The Freddie Mercury Album,Freddie Mercury,4
Sand & Stones & Bricks & Rocks,1,Aromabar,2
España Camisa Blanca De Mi Esperanza,26 Grandes Canciones Y Una Nube Blanca,Ana Belén,1
Me Falta El Aliento,Estopa,Estopa,3
Toss The Feathers (Instrumental) ( LP Version ),Dreams - The Ultimate Corrs Collection,The Corrs,1
Sample Track 2,Dance & Hip Hop Breaks,Simon Harris,5
Y Hubo Alguien,Contra La Corriente,Marc Anthony,1
Go Your Own Way (LP Version),Greatest Hits,Fleetwood Mac,3
Fruta Fresca,El Amor De Mi Tierra,Carlos Vives,1
When Will It Rain,20th Century Masters: The Millennium Collection:  Best Of Jackyl,Jackyl,17
Shock To The System (2001 Digital Remaster),Greatest Hits,Billy Idol,16
Since I Lost My Tooth,Songs Of Pain,Daniel Johnston,1
Oipic,Double Allergic,Powderfinger,11
I'll Stand by You,Le Coeur Des Hommes 2,The Pretenders,4
My Heart Will Go On,100 Movie Hits,Céline Dion,1
I Believe In You,On ne change pas,Il Divo;Céline Dion,1
Got It Twisted,Amerikaz Nightmare,Mobb Deep,2
Sweet home Alabama,To Die For,Lynyrd Skynyrd,1
Quien Me Iba A Decir,Premonicion,David Bisbal,1
Mannish Boy,Blues,Jimi Hendrix,1
It's My Life,Crush,Bon Jovi,5
Primera Vez,Animal Nocturno,Ricardo Arjona,1
