song_name,song_release,song_artist,listen_time
Walk A Little Straighter,Doin' Something Right / Billy Currington,Billy Currington,1
All Tomorrow's Parties,The Velvet Underground & Nico,The Velvet Underground / Nico,2
Devil's All You've Ever Had,The Thief and The Heartbreaker,Alberta Cross,1
The Philosophy Of Time Travel,Felony,Emmure,1
(They Long To Be) Close To You,The Essential Collection (1965-1997),Carpenters,1
Miss World,For Sleepyheads Only,Flunk,1
Zopf: Pigtail,Music From The Penguin Cafe,Penguin Café Orchestra,1
Heaven Must Be Missing An Angel,Capitol Gold: The Best Of Tavares,Tavares,3
In Walks The Night,Desire Walks On (Int'l Only),Heart,1
Impossible,Christina Aguilera/Stripped,Christina Aguilera,1
Umoja,The Spirit of Togetherness,UMOJA,1
Everyday,Both Sides,Phil Collins,1
