song_name,song_release,song_artist,listen_time
Five Miles Back,The Happening,James Newton Howard,2
Adorable,Favorite Fix,Artist Vs Poet,1
What If That Guy From Smashing Pumpkins Lost His Car Keys?,Superhero,Stephen Lynch,2
Grandfather,Superhero,Stephen Lynch,1
Everybody Knows You Cried Last Night,Costello Music,The Fratellis,1
Beautiful Girls (Sean Kingston cover),Punk Goes Pop Volume Two,Bayside,1
Hell,99 Songs of Revolution,Streetlight Manifesto,10
Here's To Life (Album Version),Everything Goes Numb,Streetlight Manifesto,15
Point/Counterpoint (Album Version),Everything Goes Numb,Streetlight Manifesto,1
Four Word Letter (pt. 2),Catch For Us The Foxes,mewithoutYou,1
Paper-Hanger,Catch For Us The Foxes,mewithoutYou,1
Takes Me Nowhere,Rise And Fall_ Rage And Grace,The Offspring,1
I Was Just Thinking,Poetry & Airplanes,Teitur,1
The Receiving End Of It All (Album Version),Somewhere In The Between,Streetlight Manifesto,1
Would You Be Impressed (Album Version),Somewhere In The Between,Streetlight Manifesto,11
Lullaby (Divorce Song),A Little Bit Special,Stephen Lynch,1
Pretty Girls Make Graves,The Smiths,The Smiths,1
Taxi Driver,Superhero,Stephen Lynch,1
The Big Sleep (Album Version),Everything Goes Numb,Streetlight Manifesto,1
Brick,Ben Folds Live,Ben Folds,1
If And When We Rise Again (Album Version),Everything Goes Numb,Streetlight Manifesto,1
Trust In You,Rise And Fall_ Rage And Grace,The Offspring,1
How To Disappear Completely,Kid A,Radiohead,1
Promises Like Pie-Crust (Album),No Promises,Carla Bruni,1
Americano,Vavoom,The Brian Setzer Orchestra,1
Carousels,Catch For Us The Foxes,mewithoutYou,1
Devotion And Desire,Live At The Bayside Social Club,Bayside,1
A Better Place_ A Better Time (Album Version),Everything Goes Numb,Streetlight Manifesto,1
Put A Lid On It,Contact,Squirrel Nut Zippers,1
We Are The Few (Album Version),Everything Goes Numb,Streetlight Manifesto,1
The Lime Tree,Trevor Hall,Trevor Hall,1
Ain't No Rest For The Wicked (Original Version),Cage The Elephant,Cage The Elephant,3
Soil To The Sun,Cage The Elephant,Cage The Elephant,1
Albino,The Craig Machine,Stephen Lynch,1
Afternoon (Album),No Promises,Carla Bruni,2
Somebody Told Me,Hot Fuss,The Killers,1
Kristy_ Are You Doing Okay?,Rise And Fall_ Rage And Grace,The Offspring,1
Halloween,The Craig Machine,Stephen Lynch,1
Down To The Old Pub Instead,Superhero,Stephen Lynch,1
Ole Black 'n' Blue Eyes,Costello Music,The Fratellis,1
She Don't Use Jelly,Whatever And Ever Amen (Remastered Edition),Ben Folds Five,1
Classic Rock Song,The Craig Machine,Stephen Lynch,1
The Gutterati?,The Fratellis EP,The Fratellis,1
Everything's Right,Twenty Three Places,Matt Wertz,1
Pictures at an Exhibition: The hut on hen's legs (Baba Yaga),Mussorgsky: Pictures at an Exhibition/Tchaikovsky: The Seasons,Mikhail Pletnev,2
Voices In My Head,The Craig Machine,Stephen Lynch,1
Little Tiny Moustache,The Craig Machine,Stephen Lynch,1
Runaway,Artist Vs Poet EP,Artist Vs Poet,1
Cuntry Boys & City Girls,Costello Music,The Fratellis,1
Those Dancing Days Are Gone (Album),No Promises,Carla Bruni,3
I Felt My Life With Both My Hands (Album),No Promises,Carla Bruni,1
In One Ear,Cage The Elephant,Cage The Elephant,2
Drones In The Valley,Cage The Elephant,Cage The Elephant,1
James Brown,Cage The Elephant,Cage The Elephant,1
It's a Wonderful Life,A Call To Arms,Bandits of the Acoustic Revolution,1
Love Song,The Craig Machine,Stephen Lynch,1
Song For The Dumped,Whatever and Ever Amen,Ben Folds Five,1
Song For The Dumped,Whatever And Ever Amen (Remastered Edition),Ben Folds Five,1
Paralyzer,Them vs. You vs. Me,Finger Eleven,1
The Downfall Of Us All,Homesick [Special Edition],A Day To Remember,1
In Defense Of A Peepshow Girl,A Little Bit Special,Stephen Lynch,1
Anything's Possible,Turn Around,Jonny Lang,1
Baby Fratelli,Baby Fratelli,The Fratellis,1
A Moment Of Silence (Album Version),Everything Goes Numb,Streetlight Manifesto,1
She Gotta Smile,Superhero,Stephen Lynch,1
Public Service Announcement,The Slim Shady LP,Eminem,1
For The Ladies,Superhero,Stephen Lynch,1
All This Beauty,Sex And The City - Original Motion Picture Soundtrack,The Weepies,1
Please Please Please Let Me Get What I Want (Remastered Version),B-Sides & Rarities,Deftones,1
Craig,The Craig Machine,Stephen Lynch,1
Vanilla Ice Cream,The Craig Machine,Stephen Lynch,1
Vince The Loveable Stoner,Costello Music,The Fratellis,2
In The Shadows,The UA Singles 1977-1982,The Stranglers,3
Walken I,A Little Bit Special,Stephen Lynch,1
Here's To Life,Underground Screams,Bandits of the Acoustic Revolution,1
Best Friends Song,Superhero,Stephen Lynch,3
Mixer At Delta Chi,The Craig Machine,Stephen Lynch,1
Creepin Up The Backstairs,The Fratellis EP,The Fratellis,1
Gotta Have You,Indoor Picnic Music,The Weepies,1
Autumn (Album),No Promises,Carla Bruni,2
Henrietta,Henrietta,The Fratellis,12
