song_name,song_release,song_artist,listen_time
Sun Hands,Gorilla Manor,Local Natives,1
Camera Talk,Camera Talk,Local Natives,1
Belle,In Between Dreams,Jack Johnson,1
Auto Rock,Mr. Beast,Mogwai,1
Who Knows Who Cares,Gorilla Manor,Local Natives,2
Quiet,Young Mountain,This Will Destroy You,2
Girlfriend,Wolfgang Amadeus Phoenix,Phoenix,1
Happiness: We're All In It Together,Young Mountain,This Will Destroy You,1
Armistice,Wolfgang Amadeus Phoenix,Phoenix,1
There Are Some Remedies Worse Than The Disease,Young Mountain,This Will Destroy You,2
Swimming In The Flood,Manners,Passion Pit,1
