song_name,song_release,song_artist,listen_time
Beautiful_ Dirty_ Rich,The Fame Monster,Lady GaGa,1
Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,2
Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,1
Teeth,The Fame Monster,Lady GaGa,1
¿Donde Estás?,Manuel Carrasco,Manuel Carrasco,1
Bleed It Out [Live At Milton Keynes],Road To Revolution: Live At Milton Keynes,Linkin Park,1
Neighborhood #1 (Tunnels),Funeral,Arcade Fire,1
Somebody To Love,My Worlds,Justin Bieber,1
Hey_ Soul Sister,Save Me_ San Francisco,Train,1
Paper Gangsta,The Fame Monster,Lady GaGa,1
Monster,The Fame Monster,Lady GaGa,1
¿Qué Nos Está Pasando?,Inercia,Manuel Carrasco,1
Just Dance,Just Dance,Lady GaGa / Colby O'Donis,1
Nada Es Igual,Manuel Carrasco,Manuel Carrasco,1
Sehr kosmisch,Musik von Harmonia,Harmonia,2
Rockstar,sunny 16,Ben Folds,1
Mantendré La Calma,Manuel Carrasco,Manuel Carrasco,1
Molly's Chambers,Holy Roller Novocaine EP,Kings Of Leon,1
Camaro,Because Of The Times,Kings Of Leon,1
Rock Music,Bossanova,Pixies,1
Velvet Snow,Aha Shake Heartbreak,Kings Of Leon,1
Niña,Manuel Carrasco,Manuel Carrasco,1
Disco Heaven,The Fame Monster,Lady GaGa,1
The Scientist,The Scientist,Coldplay,1
The Only Exception (Album Version),The Only Exception,Paramore,1
Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,1
Again Again,The Fame Monster,Lady GaGa,1
Sentimental X's,Forgiveness Rock Record,Broken Social Scene,1
Dibujar Tu Olvido,Manuel Carrasco,Manuel Carrasco,1
Secrets,Waking Up,OneRepublic,1
Una Historia De Amor,Quiereme,Manuel Carrasco,1
El Beso De La Vida,Manuel Carrasco,Manuel Carrasco,1
Menos Mal,Inercia,Manuel Carrasco,1
Glamorous Indie Rock and Roll,Sawdust,The Killers,1
Que Nadie,Inercia,Manuel Carrasco,2
Pursuit Of Happiness (nightmare),Pursuit Of Happiness,Kid Cudi / MGMT / Ratatat,1
Porque...,Inercia,Manuel Carrasco,1
Y Ahora,Tercera Parada,Manuel Carrasco,1
Alejandro,The Fame Monster,Lady GaGa,1
Mucho Mambo (Sway) 2009,Mucho Mambo (Sway) 2009 Remixes,Shaft,1
Boys Boys Boys,The Fame Monster,Lady GaGa,1
Hoy Pasan Los Días,Manuel Carrasco,Manuel Carrasco,1
En El Bar De Los Pesares,Manuel Carrasco,Manuel Carrasco,1
Marry Me,Save Me_ San Francisco,Train,1
Love Story,Het Beste Uit De Top 40 - 2009,Taylor Swift,1
Heartbreak Warfare,Battle Studies,John Mayer,1
OMG,OMG - The Remixes,Usher featuring will.i.am,1
Drop The World,Drop The World,Lil Wayne / Eminem,1
Use Somebody,Use Somebody,Kings Of Leon,1
Speechless,The Fame Monster,Lady GaGa,1
Rememo,Aha Shake Heartbreak,Kings Of Leon,1
Llueve Sin Descanso,Inercia,Manuel Carrasco,1
No Puede Ser,Manuel Carrasco,Manuel Carrasco,1
Ragoo,Because Of The Times,Kings Of Leon,1
