song_name,song_release,song_artist,listen_time
Keep It Clean,Underachievers Please Try Harder,Camera Obscura,1
Such Great Heights,Grey's Anatomy Original Soundtrack,The Postal Service,1
Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,2
All We Are,Dreaming Out Loud,OneRepublic,1
Missing Persons 1 & 2,Waking Up,OneRepublic,1
Lullaby,Waking Up,OneRepublic,1
Someone To Save You,Dreaming Out Loud,OneRepublic,1
Hey_ Soul Sister,Save Me_ San Francisco,Train,1
Future Reflections,Oracular Spectacular,MGMT,2
Catch My Disease,Grey's Anatomy Original Soundtrack,Ben Lee,1
Sehr kosmisch,Musik von Harmonia,Harmonia,1
Big Big Love (Fig .2),Antidotes,Foals,1
Kiss With A Fist,Wild Child OST,Florence + The Machine,1
All This Time,Waking Up,OneRepublic,1
I'm Not Calling You A Liar,Lungs,Florence + The Machine,1
Something In The Water,Grey's Anatomy Volume 3 Original Soundtrack,The Jealous Girlfriends,1
Say (All I Need),Dreaming Out Loud,OneRepublic,1
The Scientist,The Scientist,Coldplay,1
Poor Little Rich Boy (Remastered Version),Mary Ann meets the Gravediggers and other short stories by regina spektor,Regina Spektor,1
Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,1
Waking Up,Waking Up,OneRepublic,1
The Handshake,Oracular Spectacular,MGMT,1
Mercy,Dreaming Out Loud,OneRepublic,1
Seven,Big Whiskey and the GrooGrux King,DAVE MATTHEWS BAND,1
Hardest Of Hearts,Lungs,Florence + The Machine,1
Dog Days Are Over (Demo),Lungs,Florence + The Machine,1
Secrets,Waking Up,OneRepublic,1
Grux,Big Whiskey and the GrooGrux King,DAVE MATTHEWS BAND,1
Sideways,The Chaos in Order,Let's Go Sailing,1
Rabbit Heart (Raise It Up),Rabbit Heart EP,Florence + The Machine,1
You've Got The Love,Lungs,Florence + The Machine,1
Time Bomb,Big Whiskey and the GrooGrux King,DAVE MATTHEWS BAND,1
Marchin On,Waking Up,OneRepublic,1
Prodigal,Dreaming Out Loud,OneRepublic,1
Things,The Winter of Mixed Drinks,Frightened Rabbit,1
Marry Me,Save Me_ San Francisco,Train,1
My Boy Builds Coffins,Lungs,Florence + The Machine,1
OMG,OMG - The Remixes,Usher featuring will.i.am,1
Drop The World,Drop The World,Lil Wayne / Eminem,1
Polite Dance Song,Ray Guns Are Not Just The Future,the bird and the bee,1
Squirm,Big Whiskey and the GrooGrux King,DAVE MATTHEWS BAND,1
Byzantium,Somewhere To Elsewhere,Kansas,1
Cosmic Love,Lungs,Florence + The Machine,1
Goodbye_ Apathy,Dreaming Out Loud,OneRepublic,1
It's Christmas So We'll Stop (Choir Version),It's Christmas So We'll Stop,The Pretend It's December Choir,1
