song_name,song_release,song_artist,listen_time
Maricon Puto (Album Version),Coal Chamber,Coal Chamber,1
Wish You Were Here,Morning View,Incubus,1
One Day,Eye To The Telescope / KT Tunstall's Acoustic Extravaganza,KT Tunstall,2
Dreamtime (Album Version),Coal Chamber,Coal Chamber,1
Bradley (Album Version),Coal Chamber,Coal Chamber,1
All Day Sucker,The Complete Stevie Wonder,Stevie Wonder,1
Pig (w/ hidden message + silence) (Album Version),Coal Chamber,Coal Chamber,1
Clock (Album Version),Coal Chamber,Coal Chamber,1
Under The Weather,Eye To The Telescope,KT Tunstall,2
Have A Talk With God,Songs In The Key Of Life,Stevie Wonder,2
Girl And The Ghost,KT Tunstall's Acoustic Extravaganza,KT Tunstall,1
Sway (Album Version),Coal Chamber,Coal Chamber,1
Nice To Know You,Monuments And Melodies,Incubus,1
Through The Dark,Eye To The Telescope,KT Tunstall,2
Paper Wings,Siren Song Of The Counter-Culture,Rise Against,1
Kiss Off,Violent Femmes,Violent Femmes,1
Silent Sea,Eye To The Telescope,KT Tunstall,1
Big Truck (Album Version),Coal Chamber,Coal Chamber,1
Blood To Bleed,Siren Song Of The Counter-Culture,Rise Against,1
False Alarm,Eye To The Telescope,KT Tunstall,2
Stoppin' The Love,Eye To The Telescope,KT Tunstall,1
Heal Over,Eye To The Telescope,KT Tunstall,1
