song_name,song_release,song_artist,listen_time
The Other Side Of This Life,The Many Sides Of Fred Neil,Fred Neil,2
Andante From Sonata #2 In A Minor For Unaccompanied Violin,The Bach Variations,Chris Botti,2
Ugly,Deliverence,Bubba Sparxxx,1
Wherever You Will Go,Camino Palmero,The Calling,4
Gods Of War,Balls To Picasso,Bruce Dickinson,1
Ask Me No Questions,So Alone,Johnny Thunders,1
No Mystery,The New Crystal Silence,Chick Corea / Gary Burton,6
Lazy Lover,Brazilian Girls,Brazilian Girls,1
Move,Essential,Miles Davis,1
Sweet Cocaine (Live),The Many Sides Of Fred Neil,Fred Neil,2
Siguiendo La Luna,Chau,Los Fabulosos Cadillacs,1
Pussy,Lazy Lover,Brazilian Girls,1
In The Flesh,The Essential Collection,Blondie,1
Cry,80s Triple Set,Godley & Creme,1
Atrévete te te,Calle 13 (Explicit Version),Calle 13,1
Tapatio,Open Wide,Dave Aju,5
Malato,La Mujer De Mi Hermano: Music Inspired by the Film,Novalima,1
Long,Brazilian Girls,Brazilian Girls,1
Breakbeat Suckers,Counterfeit,Cirrus,2
Opium Of The People (Album Version),Vol. 3 The Subliminal Verses,Slipknot,4
